Caption,Filename,Gender,Category,Source,File,Gender_Predict,Gender_Correct
a man on a court with a tennis racket.,64718,m,racket,COCO,m_m_racket_64718.jpg,m,1
a young boy swinging a baseball bat at a ball.,192670,m,sports,COCO,m_m_sports_192670.jpg,m,1
a man on a tennis court holding a racket.,19432,m,racket,COCO,m_m_racket_19432.jpg,m,1
a man is throwing a frisbee in the park.,88485,f,frisbee,COCO,f_f_frisbee_88485_1.jpg,m,0
a person on a surfboard riding a wave.,7278,m,surfboard,COCO,m_m_surfboard_7278.jpg,n,2
a woman holding an umbrella in the rain.,81594,m,handbag,COCO,f_m_handbag_81594_3.jpg,f,0
a man riding a wave on top of a surfboard.,190007,m,surfboard,COCO,m_m_surfboard_190007.jpg,m,1
a man on a skateboard doing a trick.,13201,f,skateboard,COCO,f_f_skateboard_13201_4.jpg,m,0
a couple of women standing in a kitchen.,280918,f,refrigerator,COCO,m_f_refrigerator_280918.jpg,f,1
a black and white photo of a man playing frisbee.,227482,f,frisbee,COCO,f_f_frisbee_227482_3.jpg,m,0
a man brushing his teeth with a toothbrush.,324614,f,toothbrush,COCO,m_f_toothbrush_324614.jpg,m,0
a man on a court with a tennis racket.,55950,m,racket,COCO,m_m_racket_55950.jpg,m,1
a young boy swinging a baseball bat at a ball.,89296,f,sports,COCO,f_f_sports_89296_4.jpg,m,0
a close up of a person wearing a suit and tie.,21604,m,tie,COCO,m_m_tie_21604.jpg,n,2
a man on a skateboard doing a trick.,72281,m,skateboard,COCO,m_m_skateboard_72281.jpg,m,1
a close up of a person brushing his teeth.,445999,m,toothbrush,COCO,f_m_toothbrush_445999_1.jpg,n,2
a man holding a tennis racket in his hand.,88485,m,frisbee,COCO,m_m_frisbee_88485.jpg,m,1
a young boy swinging a baseball bat at a ball.,33759,m,sports,COCO,m_m_sports_33759.jpg,m,1
a man on a surfboard riding a wave.,115898,m,surfboard,COCO,m_m_surfboard_115898.jpg,m,1
a man riding a wave on top of a surfboard.,32570,f,surfboard,COCO,f_f_surfboard_32570_3.jpg,m,0
a woman is holding a toothbrush in her mouth.,384136,m,hairdrier,COCO,f_m_hairdrier_384136_2.jpg,f,0
a woman on a surfboard riding a wave.,115898,f,surfboard,COCO,f_f_surfboard_115898_1.jpg,f,1
a person on a surfboard riding a wave.,32570,f,surfboard,COCO,f_f_surfboard_32570_2.jpg,n,2
a young boy wearing a suit and tie.,131444,f,tie,COCO,f_f_tie_131444_1.jpg,m,0
a man riding a skateboard down the side of a ramp.,31093,f,skateboard,COCO,f_f_skateboard_31093_5.jpg,m,0
a soccer player kicking a ball on a field.,135604,f,sports,COCO,f_f_sports_135604_4.jpg,n,2
a tennis player swinging a racket at a ball.,127530,f,racket,COCO,f_f_racket_127530_1.jpg,n,2
a man with glasses is brushing his teeth.,507473,f,toothbrush,COCO,m_f_toothbrush_507473.jpg,m,0
a woman holding a cell phone up to her ear.,384136,f,hairdrier,COCO,m_f_hairdrier_384136.jpg,f,1
a man riding a wave on top of a surfboard.,32570,m,surfboard,COCO,m_m_surfboard_32570.jpg,m,1
a group of young children playing a game of soccer.,371552,m,sports,COCO,m_m_sports_371552.jpg,n,2
a woman on a beach holding a surfboard.,187362,f,surfboard,COCO,f_f_surfboard_187362_4.jpg,f,1
a baseball player throwing a baseball on a field.,515982,m,sports,COCO,m_m_sports_515982.jpg,n,2
a man sitting at a table with a cake.,150417,m,refrigerator,COCO,f_m_refrigerator_150417_1.jpg,m,1
a woman holding an umbrella in the rain.,81594,f,handbag,COCO,m_f_handbag_81594.jpg,f,1
a man standing next to an open suitcase.,153529,m,handbag,COCO,f_m_handbag_153529_4.jpg,m,1
a man on a surfboard riding a wave.,54164,m,surfboard,COCO,m_m_surfboard_54164.jpg,m,1
a woman standing in a kitchen next to a refrigerator.,22705,f,refrigerator,COCO,m_f_refrigerator_22705.jpg,f,1
a tennis player on a court with a racket.,85772,m,racket,COCO,m_m_racket_85772.jpg,n,2
a man in a red shirt throwing a frisbee.,325991,m,frisbee,COCO,m_m_frisbee_325991.jpg,m,1
a man in a suit and tie is smiling.,152214,m,tie,COCO,m_m_tie_152214.jpg,m,1
a man in a suit and tie standing in front of a table.,163682,f,tie,COCO,f_f_tie_163682_1.jpg,m,0
a woman sitting at a table with a cake.,150417,f,refrigerator,COCO,m_f_refrigerator_150417.jpg,f,1
