Caption,Filename,Gender,Category,Source,Gender_Correct,Gender_Predict,File,Gender Neutral Caption
a tennis player swinging a racket at a ball.,88970,m,racket,COCO,2,n,m_m_racket_88970.jpg,a tennis player swinging a racket at a ball.
a female tennis player in action on the court.,88970,f,racket,Flickr,1,f,f_f_racket_88970_2.jpg,a tennis player in action on the court.
a female tennis player in action on the court.,88970,f,racket,Flickr,1,f,f_f_racket_88970_5.jpg,a tennis player in action on the court.
a baseball player swinging a bat at a ball.,89296,m,sports,COCO,0,n,m_m_sports_89296.jpg,a baseball player swinging a bat at a ball.
a young boy swinging a baseball bat at a ball.,89296,f,sports,Flickr,2,m,f_f_sports_89296_4.jpg,a young person swinging a baseball bat at a ball.
a man riding a wave on top of a surfboard.,115898,m,surfboard,COCO,1,m,m_m_surfboard_115898.jpg,a person riding a wave on top of a surfboard.
a woman on a surfboard riding a wave.,115898,f,surfboard,Flickr,1,f,f_f_surfboard_115898_1.jpg,a person on a surfboard riding a wave.
a man riding a skateboard up the side of a ramp.,125472,m,skateboard,COCO,1,m,m_m_skateboard_125472.jpg,a person riding a skateboard up the side of a ramp.
a man riding a skateboard up the side of a ramp.,125472,f,skateboard,Flickr,1,m,f_f_skateboard_125472_2.jpg,a person riding a skateboard up the side of a ramp.
a group of young people playing a game of frisbee.,127263,f,frisbee,Flickr,2,n,f_f_frisbee_127263_4.jpg,a group of young people playing a game of frisbee.
a group of young men playing a game of frisbee.,127263,m,frisbee,COCO,1,m,m_m_frisbee_127263.jpg,a group of people playing a game of frisbee.
a man holding a tennis racquet on a tennis court.,127530,m,racket,COCO,1,m,m_m_racket_127530.jpg,a person holding a tennis racquet on a tennis court.
a female tennis player in action on the court.,127530,f,racket,Flickr,1,f,f_f_racket_127530_1.jpg,a tennis player in action on the court.
a person jumping a skate board in the air.,128699,m,skateboard,COCO,2,n,m_m_skateboard_128699.jpg,a person jumping a skate board in the air.
a man in a suit and tie standing in the grass.,131444,m,tie,COCO,1,m,m_m_tie_131444.jpg,a person in a suit and tie standing in the grass.
a young girl wearing a dress shirt and tie.,131444,f,tie,Flickr,1,f,f_f_tie_131444_1.jpg,a young person wearing a dress shirt and tie.
a young boy kicking a soccer ball on a field.,135604,m,sports,COCO,1,m,m_m_sports_135604.jpg,a young person kicking a soccer ball on a field.
a young boy kicking a soccer ball on a field.,135604,f,sports,Flickr,0,m,f_f_sports_135604_4.jpg,a young person kicking a soccer ball on a field.
a woman sitting at a table with a cake.,150417,m,refrigerator,Flickr,0,f,f_m_refrigerator_150417_1.jpg,a person sitting at a table with a cake.
a woman sitting at a table with a cake.,150417,f,refrigerator,COCO,1,f,m_f_refrigerator_150417.jpg,a person sitting at a table with a cake.
a young girl wearing a tie and smiling.,152214,f,tie,Flickr,1,f,f_f_tie_152214_1.jpg,a young person wearing a tie and smiling.
a man in a suit and tie standing in front of a window.,152214,m,tie,COCO,1,m,m_m_tie_152214.jpg,a person in a suit and tie standing in front of a window.
a woman standing next to a luggage bag on the ground.,153529,f,handbag,COCO,1,f,m_f_handbag_153529.jpg,a person standing next to a luggage bag on the ground.
a man standing next to a pile of luggage.,153529,m,handbag,Flickr,1,m,f_m_handbag_153529_4.jpg,a person standing next to a pile of luggage.
a woman walking down a street while talking on a cell phone.,157365,f,skateboard,Flickr,1,f,f_f_skateboard_157365_3.jpg,a person walking down a street while talking on a cell phone.
a man riding a skateboard down a street.,157365,m,skateboard,COCO,1,m,m_m_skateboard_157365.jpg,a person riding a skateboard down a street.
a man in a suit and tie sitting in a chair.,163682,m,tie,COCO,1,m,m_m_tie_163682.jpg,a person in a suit and tie sitting in a chair.
a man in a suit and tie standing in a room.,163682,f,tie,Flickr,0,m,f_f_tie_163682_1.jpg,a person in a suit and tie standing in a room.
a man riding a wave on top of a surfboard.,177357,m,surfboard,COCO,1,m,m_m_surfboard_177357.jpg,a person riding a wave on top of a surfboard.
a person riding a surf board on a wave.,177357,f,surfboard,Flickr,2,n,f_f_surfboard_177357_5.jpg,a person riding a surf board on a wave.
a man standing on a beach holding a surfboard.,187362,m,surfboard,COCO,1,m,m_m_surfboard_187362.jpg,a person standing on a beach holding a surfboard.
a woman standing on a beach holding a surfboard.,187362,f,surfboard,Flickr,1,f,f_f_surfboard_187362_4.jpg,a person standing on a beach holding a surfboard.
a man riding a wave on top of a surfboard.,190007,m,surfboard,COCO,1,m,m_m_surfboard_190007.jpg,a person riding a wave on top of a surfboard.
a baseball player swinging a bat at a ball.,192670,m,sports,COCO,2,n,m_m_sports_192670.jpg,a baseball player swinging a bat at a ball.
a man is throwing a frisbee in a park.,227482,m,frisbee,COCO,1,m,m_m_frisbee_227482.jpg,a person is throwing a frisbee in a park.
a woman is playing tennis on a court.,227482,f,frisbee,Flickr,1,f,f_f_frisbee_227482_3.jpg,a person is playing tennis on a court.
a woman standing in a kitchen holding a pan.,280918,f,refrigerator,COCO,1,f,m_f_refrigerator_280918.jpg,a person standing in a kitchen holding a pan.
a man is holding a box of doughnuts.,280930,m,refrigerator,Flickr,1,m,f_m_refrigerator_280930_1.jpg,a person is holding a box of doughnuts.
a woman standing in a kitchen preparing food.,280930,f,refrigerator,COCO,1,f,m_f_refrigerator_280930.jpg,a person standing in a kitchen preparing food.
a group of young men playing a game of frisbee.,291619,f,frisbee,Flickr,0,m,f_f_frisbee_291619_2.jpg,a group of people playing a game of frisbee.
a man on a field with a frisbee.,291619,m,frisbee,COCO,1,m,m_m_frisbee_291619.jpg,a person on a field with a frisbee.
a woman brushing her teeth with a tooth brush.,324614,f,toothbrush,COCO,1,f,m_f_toothbrush_324614.jpg,a person brushing their teeth with a tooth brush.
a man in a field throwing a frisbee.,325991,m,frisbee,COCO,1,m,m_m_frisbee_325991.jpg,a person in a field throwing a frisbee.
a young man holding a frisbee in a park.,328238,m,frisbee,COCO,1,m,m_m_frisbee_328238.jpg,a young person holding a frisbee in a park.
a group of young men playing a game of frisbee.,328238,f,frisbee,Flickr,1,m,f_f_frisbee_328238_2.jpg,a group of people playing a game of frisbee.
a man holding a hot dog in his hands.,350002,m,hairdrier,Flickr,1,m,f_m_hairdrier_350002_5.jpg,a person holding a hot dog in their hands.
a woman sitting on a couch holding a cell phone.,350002,f,hairdrier,COCO,1,f,m_f_hairdrier_350002.jpg,a person sitting on a couch holding a cell phone.
a soccer player kicking a soccer ball on a field.,371552,f,sports,Flickr,2,n,f_f_sports_371552_4.jpg,a soccer player kicking a soccer ball on a field.
a soccer player kicking a soccer ball on a field.,371552,m,sports,COCO,2,n,m_m_sports_371552.jpg,a soccer player kicking a soccer ball on a field.
a man is holding a glass of wine.,384136,m,hairdrier,Flickr,1,m,f_m_hairdrier_384136_2.jpg,a person is holding a glass of wine.
a woman holding a nintendo wii game controller.,384136,f,hairdrier,COCO,1,f,m_f_hairdrier_384136.jpg,a person holding a nintendo wii game controller.
a baseball player swinging a bat at a ball.,429690,m,sports,COCO,2,n,m_m_sports_429690.jpg,a baseball player swinging a bat at a ball.
a baseball player swinging a bat at a ball.,429690,f,sports,Flickr,2,n,f_f_sports_429690_1.jpg,a baseball player swinging a bat at a ball.
a woman holding a baby in her arms.,445999,f,toothbrush,COCO,1,f,m_f_toothbrush_445999.jpg,a person holding a baby in their arms.
a man brushing his teeth with a tooth brush.,445999,m,toothbrush,Flickr,1,m,f_m_toothbrush_445999_2.jpg,a person brushing their teeth with a tooth brush.
a man brushing his teeth with a tooth brush.,445999,m,toothbrush,Flickr,1,m,f_m_toothbrush_445999_1.jpg,a person brushing their teeth with a tooth brush.
a woman standing in a room holding a nintendo wii game controller.,456662,f,refrigerator,COCO,1,f,m_f_refrigerator_456662.jpg,a person standing in a room holding a nintendo wii game controller.
a person standing in a kitchen next to a refrigerator.,456662,m,refrigerator,Flickr,2,n,f_m_refrigerator_456662_1.jpg,a person standing in a kitchen next to a refrigerator.
a woman holding a toothbrush in her hand.,465179,f,toothbrush,COCO,1,f,m_f_toothbrush_465179.jpg,a person holding a toothbrush in their hand.
a man holding a toothbrush in his hand.,465179,m,toothbrush,Flickr,1,m,f_m_toothbrush_465179_1.jpg,a person holding a toothbrush in their hand.
a man taking a selfie in a bathroom mirror.,507473,m,toothbrush,Flickr,1,m,f_m_toothbrush_507473_1.jpg,a person taking a selfie in a bathroom mirror.
a man brushing his teeth with a tooth brush.,507473,f,toothbrush,COCO,0,m,m_f_toothbrush_507473.jpg,a person brushing their teeth with a tooth brush.
a baseball player swinging a bat at a ball.,515982,f,sports,Flickr,2,n,f_f_sports_515982_2.jpg,a baseball player swinging a bat at a ball.
a baseball player throwing a baseball on a field.,515982,m,sports,COCO,2,n,m_m_sports_515982.jpg,a baseball player throwing a baseball on a field.
