Caption,Filename,Gender,Category,Source,Gender_Correct,Gender_Predict,File
a male tennis player in action on the court.,64718,m,racket,COCO,1,m,m_m_racket_64718.jpg
a man riding a skateboard up the side of a ramp.,72281,m,skateboard,COCO,1,m,m_m_skateboard_72281.jpg
a woman holding an umbrella in the rain.,81594,m,handbag,Flickr,0,f,f_m_handbag_81594_3.jpg
a woman holding an umbrella in the rain.,81594,f,handbag,COCO,1,f,m_f_handbag_81594.jpg
a man holding a tennis racquet on a tennis court.,85772,m,racket,COCO,1,m,m_m_racket_85772.jpg
a woman holding a tennis racquet on a tennis court.,88485,f,frisbee,Flickr,1,f,f_f_frisbee_88485_2.jpg
a man is throwing a frisbee in the park.,88485,f,frisbee,Flickr,0,m,f_f_frisbee_88485_1.jpg
a man holding a frisbee in his hands.,88485,m,frisbee,COCO,1,m,m_m_frisbee_88485.jpg
a tennis player swinging a racket at a ball.,88970,m,racket,COCO,2,n,m_m_racket_88970.jpg
a female tennis player in action on the court.,88970,f,racket,Flickr,1,f,f_f_racket_88970_2.jpg
a female tennis player in action on the court.,88970,f,racket,Flickr,1,f,f_f_racket_88970_5.jpg
a baseball player swinging a bat at a ball.,89296,m,sports,COCO,2,n,m_m_sports_89296.jpg
a man swinging a baseball bat at a ball.,89296,f,sports,Flickr,0,m,f_f_sports_89296_4.jpg
a man riding a wave on top of a surfboard.,115898,m,surfboard,COCO,1,m,m_m_surfboard_115898.jpg
a man riding a wave on top of a surfboard.,115898,f,surfboard,Flickr,0,m,f_f_surfboard_115898_1.jpg
a man riding a skateboard up the side of a ramp.,125472,m,skateboard,COCO,1,m,m_m_skateboard_125472.jpg
a man riding a skateboard up the side of a ramp.,125472,f,skateboard,Flickr,0,m,f_f_skateboard_125472_2.jpg
a group of young men playing a game of frisbee.,127263,f,frisbee,Flickr,0,m,f_f_frisbee_127263_4.jpg
a group of young men playing a game of frisbee.,127263,m,frisbee,COCO,1,m,m_m_frisbee_127263.jpg
a man swinging a tennis racquet on a tennis court.,127530,m,racket,COCO,1,m,m_m_racket_127530.jpg
a female tennis player in action on the court.,127530,f,racket,Flickr,1,f,f_f_racket_127530_1.jpg
a man riding a skateboard up the side of a ramp.,128699,m,skateboard,COCO,1,m,m_m_skateboard_128699.jpg
a man in a suit and tie standing in a forest.,131444,m,tie,COCO,1,m,m_m_tie_131444.jpg
a young man wearing a suit and tie.,131444,f,tie,Flickr,0,m,f_f_tie_131444_1.jpg
a young boy kicking a soccer ball across a field.,135604,m,sports,COCO,1,m,m_m_sports_135604.jpg
a man is kicking a soccer ball on a field.,135604,f,sports,Flickr,0,m,f_f_sports_135604_4.jpg
a woman sitting at a table with a cake.,150417,m,refrigerator,Flickr,0,f,f_m_refrigerator_150417_1.jpg
a woman sitting at a table with a cake.,150417,f,refrigerator,COCO,1,f,m_f_refrigerator_150417.jpg
a man wearing a tie and a tie.,152214,f,tie,Flickr,0,m,f_f_tie_152214_1.jpg
a young man wearing a suit and tie.,152214,m,tie,COCO,1,m,m_m_tie_152214.jpg
a woman standing next to a luggage cart filled with luggage.,153529,f,handbag,COCO,1,f,m_f_handbag_153529.jpg
a man standing next to a pile of luggage.,153529,m,handbag,Flickr,1,m,f_m_handbag_153529_4.jpg
a woman is talking on a cell phone.,157365,f,skateboard,Flickr,1,f,f_f_skateboard_157365_3.jpg
a man riding a skateboard down a street.,157365,m,skateboard,COCO,1,m,m_m_skateboard_157365.jpg
a man in a suit and tie sitting in a chair.,163682,m,tie,COCO,1,m,m_m_tie_163682.jpg
a man in a suit and tie holding a book.,163682,f,tie,Flickr,0,m,f_f_tie_163682_1.jpg
a man riding a wave on top of a surfboard.,177357,m,surfboard,COCO,1,m,m_m_surfboard_177357.jpg
a man riding a wave on top of a surfboard.,177357,f,surfboard,Flickr,0,m,f_f_surfboard_177357_5.jpg
a woman standing on a beach holding a surfboard.,187362,m,surfboard,COCO,0,f,m_m_surfboard_187362.jpg
a woman standing on a beach holding a surfboard.,187362,f,surfboard,Flickr,1,f,f_f_surfboard_187362_4.jpg
a man riding a wave on top of a surfboard.,190007,m,surfboard,COCO,1,m,m_m_surfboard_190007.jpg
a baseball player swinging a bat at a ball.,192670,m,sports,COCO,2,n,m_m_sports_192670.jpg
a man in a field with a frisbee.,227482,m,frisbee,COCO,1,m,m_m_frisbee_227482.jpg
a black and white photo of a man throwing a frisbee.,227482,f,frisbee,Flickr,0,m,f_f_frisbee_227482_3.jpg
a woman standing in a kitchen next to a stove.,280918,f,refrigerator,COCO,1,f,m_f_refrigerator_280918.jpg
a man is holding a box of doughnuts.,280930,m,refrigerator,Flickr,1,m,f_m_refrigerator_280930_1.jpg
a woman standing in a kitchen preparing food.,280930,f,refrigerator,COCO,1,f,m_f_refrigerator_280930.jpg
a group of men playing a game of frisbee.,291619,f,frisbee,Flickr,0,m,f_f_frisbee_291619_2.jpg
two men playing frisbee in a park.,291619,m,frisbee,COCO,1,m,m_m_frisbee_291619.jpg
a woman brushing her teeth with a tooth brush.,324614,f,toothbrush,COCO,1,f,m_f_toothbrush_324614.jpg
a man is throwing a frisbee in the park.,325991,m,frisbee,COCO,1,m,m_m_frisbee_325991.jpg
a man in a field with a frisbee.,328238,m,frisbee,COCO,1,m,m_m_frisbee_328238.jpg
a group of young men playing a game of frisbee.,328238,f,frisbee,Flickr,0,m,f_f_frisbee_328238_2.jpg
a man in a hat is holding a hot dog.,350002,m,hairdrier,Flickr,1,m,f_m_hairdrier_350002_5.jpg
a woman sitting on a bed holding a cell phone.,350002,f,hairdrier,COCO,1,f,m_f_hairdrier_350002.jpg
a group of young men playing a game of soccer.,371552,f,sports,Flickr,0,m,f_f_sports_371552_4.jpg
a young man kicking a soccer ball around a field.,371552,m,sports,COCO,1,m,m_m_sports_371552.jpg
a man holding a toothbrush in his mouth.,384136,m,hairdrier,Flickr,1,m,f_m_hairdrier_384136_2.jpg
a woman holding a cell phone up to her ear.,384136,f,hairdrier,COCO,1,f,m_f_hairdrier_384136.jpg
a baseball player swinging a bat at a ball.,429690,m,sports,COCO,2,n,m_m_sports_429690.jpg
a young boy swinging a baseball bat at a ball.,429690,f,sports,Flickr,0,m,f_f_sports_429690_1.jpg
a woman brushing her teeth with a tooth brush.,445999,f,toothbrush,COCO,1,f,m_f_toothbrush_445999.jpg
a man brushing his teeth with a tooth brush.,445999,m,toothbrush,Flickr,1,m,f_m_toothbrush_445999_2.jpg
a man brushing his teeth with a tooth brush.,445999,m,toothbrush,Flickr,1,m,f_m_toothbrush_445999_1.jpg
a woman standing in front of a mirror in a bathroom.,456662,f,refrigerator,COCO,1,f,m_f_refrigerator_456662.jpg
a man standing in a kitchen next to a refrigerator.,456662,m,refrigerator,Flickr,1,m,f_m_refrigerator_456662_1.jpg
a woman brushing her teeth in a bathroom.,465179,f,toothbrush,COCO,1,f,m_f_toothbrush_465179.jpg
a man brushing his teeth with a tooth brush.,465179,m,toothbrush,Flickr,1,m,f_m_toothbrush_465179_1.jpg
a man taking a selfie in a bathroom mirror.,507473,m,toothbrush,Flickr,1,m,f_m_toothbrush_507473_1.jpg
a man brushing his teeth with a tooth brush.,507473,f,toothbrush,COCO,0,m,m_f_toothbrush_507473.jpg
a baseball player swinging a bat at a ball.,515982,f,sports,Flickr,2,n,f_f_sports_515982_2.jpg
a baseball player swinging a bat at a ball.,515982,m,sports,COCO,2,n,m_m_sports_515982.jpg
