image_id,caption
213086,A man is bent over opening an oven.
213086,There is a man opening the oven door.
213086,A man holding open an oven door in a kitchen.
442463,There is a young skateboarder riding his board
311392,A black and white cow at market in her stall.
49259,A man with his shirt off sitting by the shoreline sunning himself. 
49259,A man sitting on a wall next to water next to a barrier
49259,A man who is sitting down next to a body of water.
221291,Young boy posing in front of a flying kite in the park
221291,A little boy standing in the grass with a kite in the sky in the background.
221291,A young boy is posing in a large grassy area.
221291,A little boy standing in a field below a kite.
368752,A young boy sitting in front of a plate of food.
368752,A young boy is smiling and he has food around him on a table.
368752,A little boy that is sitting in front of a table.
368752,a little boy smiling at someone across the table 
319607,A man is riding on bicycle alongside a new construction building.
417911,A man in a wetsuit surfing a wave on a surf board.
417911,a man leaning on a surfboard in the water riding a wave
417911,A surfer is on his board cutting through the waves.
417911,A man attempting to stand up on his board and surf a wave. 
417911,A man is drenched by the spray from the crest of a wave as he attempts to stand up on his surfboard.
32887,A man holding a stick standing next to a  green hillside.
32887,Two men with back packs and walking sticks 
32887,A man holding a stick while looking up. 
32887,two men camping in the woods near rocks
270474,A little girl holding a baseball bat on grass.
270474,A blond girl holding a baseball bat and smiling with her hand over her mouth.
270474,a young girl wearing a dress plays with a baseball bat
270474,A girl with a baseball bat in the backyard smiles. 
139,A woman stands in the dining area at the table.
139,"A room with chairs, a table, and a woman in it."
139,A woman standing in a kitchen by a window
82085,A man stands near a passenger train holding a flag.
524456,A man sitting at a table using a laptop computer.
524456,A woman is typing on a laptop on a wooden table.
524456,A woman types on a laptop while someone else operates the mouse.
90284,a woman is striking a ball with a racket
90284,A woman is standing on a tennis court with a racket.
90284,A young lady swinging a tennis racquet on top of a tennis court.
90284,A woman leans forward while swinging a tennis racket.
278705,Two young men skate down an urban road.
278705,Two young men riding skateboards on a street next to a graffiti covered wall.
213171,a boy dressed in a baseball uniform standing in a field. 
213171,A man standing in a dry baseball field.
213171,a man in a baseball uniform standing with his mit on
213171,A man in black shirt standing in field with baseball mitt.
336053,A young boy and young girl sitting at a table eating food.
549055,A man on a surfboard in the water.
549055,A guy is splashing through the waves on his surfboard.
549055,A man riding a wave on top of a surfboard.
549055,A man is surfing on a surfboard in breaking waves.
549055,A surfer doing a sharp turn in the water as his board is airborne
114884,"A woman with a cigarette standing, while a group of people with luggage walk towards a bus."
114884,A woman is having a smoke while waiting for the bus.
508101,a man is standing at the back of a boat
508101,there are two men in an odd looking boat 
508101,A man standing on the back end of a very long boat.
65736,A woman in black shirt and skirt playing a game of tennis.
65736,A woman wearing an Army t-shirt hits a tennis ball
65736,"A woman tennis player in a black army shirt and tennis skirt, swinging a tennis racket."
73946,A couple of men standing on either side of a surfboard.
73946,some men are looking at a design of a shark
73946,Two men fake biting a surfboard for a picture.
73946,Two men biting a surfboard with a shark on it. 
114907,A lady explains the process of milking a cow.
114907,A woman next to a cow is giving an explanation of milking to a crowd.
114907, A woman standing in front of a cow explaining a milking machine to a group of people. 
114907,"A woman holding a milking attachment and standing in front of a cow, with a group of people in the audience."
426203,A man riding a skateboard down a metal hand rail next to some buildings.
278749,Many people walk on a sidewalk as a man holds a restaurant sign.
278749,A man holding a street sign giving directions on a city road
278749,a man holds a sign advertising a deli 
516318,A man surfing beside a bird on a cloudy day
516318,A man that is on a surfboard in the water.
516318,A man on a surfboard riding a wave.
319721,A brown horse standing next to a woman in front of a house.
319721,A woman stands beside a large brown horse.
319721,The woman stands next to the large brown horse.
319721,A woman hold a brown horse while a woman watches.
33005,A tennis player getting ready to his a tennis ball.
33005,A man holding a tennis racquet standing on a court.
33005,A man on a court swinging a tennis racket.
393469,A man knees down on the side of a snow filled mountainside.
393469,A man standing next to a snowboard in the snow.
393469,A man sitting on his knees in the snow.
57597,A group of women playing a game of soccer on field.
57597,A group of women running after a soccer ball
57597,A soccer game where a girl in white is dribbling ahead of the girl in blue.
106757,An older woman is talking in front of an elephant.
106757,The woman is looking at the elephant in amazement. 
106757,A woman standing behind a fence looking at an elephant.
106757,an old woman standing besides an elephant smiling
180487,A guy sits at a table with an umbrella hat. 
180487,A man sits outside in a umbrella hat.
180487,A man sits at a table outside wearing an umbrella hat.
213255,a man standing in front of the grill of a  hot dog stand. 
213255,A man choosing condiments at a hotdog stand
213255,A man is grilling off the street with a modest and small cart.
213255,A man cooking hot dogs with a light colored jacket on
213255,A man cooking food on a red art on the street.
147729,A man holding up his smart phone to take a picture.
147729,a man holding his cell phone up in a crowd
147729,some people sitting and one man looking at his cellphone
147729,A man in a crowd taking pictures with a cell phone.
377113,A young man on water skis at competition.
377113,A boy wearing  skating boats in water
147740,A woman walking while carrying bananas on her hat.
147740,A woman carrying a bunch of bananas on her head walking down a street.
147740,Woman carrying a bunch of bananas on top of her hat. 
147740,A woman walks down the street with bananas on her hat
147740,A lady walks down the street with bananas on her head
426268,A large long train with man inside on the track.
434459,A man and a woman cutting up a big sheet cake.
205105,A man holding a tennis racquet on a tennis court.
205105,A man throws a tennis ball and poses his racquet. 
205105,A man who is about to hit  tennis ball with a racket.
205105,a tennis player is serving the ball to his opponent
352582,A man in a suit tossing a frisbee
352582,A young man participates in a Frisbee game.
352582,Two men one getting ready to throw a freebie. 
352582,A man throwing a white frisbee in a tree covered park.
352582,This is an image of a man trowing a frisbee.
57672,A group of men in red vests rowing a dragon boat.
336209,A man riding a skateboard up a wooden ramp.
336209,A man rides to the top of a skateboard ramp.
336209,A boy skateboards on a home made ramp.
483667,a man wearing a top hat and a red tie 
483667,A very sharp dressed man with a black top hat.
483667,A man with black hair and a top hat
483667,A man with a top hat and a red tie.
483667,A man wearing a top hate with a red tie and black shirt.
8532,A man that has glasses and a hat.
8532,Stylish man looking into camera with blurred background 
8532,A man wearing a cat and sunglasses with a red neck tie.
8532,a man in a blue shirt and red tie
8532,"A man with a plaid hat, tie, dress shirt and glasses on."
262487,The man is trying to hit the baseball during the game. 
262487,A group of men on a field playing baseball.
491867,A young bald man dressed sharply smiles happily
491867,This man has a paper flower and a green tie
491867,A man wearing glasses and a green tie
491867,a man that has a green tie and white shirt
393569,A young woman using a laptop computer while sitting on a bunk bed.
393569,A young girl sits in the bottom bunk of her bunkbed.
74092,A woman hitting a tennis ball with a racquet.
74092,A female tennis player jumping to hit a ball.
74092,A woman jumping with a tennis racket in her hand.
74092,a woman tries to hit a tennis ball in the air 
434548,A man is playing baseball in the field.
434548,A baseball player is about to throw his best pitch. 
434548,A man in grey baseball uniform throwing a ball.
532855,A man grinding his skateboard on a rail.
532855,A man riding a skateboard on the side of a  metal rail.
532855,A man on a skateboard grinding on a pole
532855,A young man doing an axle grind on a piece of pipe in a park.
532855,A boy on a skateboard rail on a skateboard 
442746,A girl is playing in a grassy area.
442746,a woman on some grass is throwing a green frisbee
442746,A young woman is preparing to throw a green Frisbee.
442746,A woman standing on a lush green park holding a green frisbee.
442746,A girl on the ground ready to throw her frisby.
426376,A man riding a snowboard down the side of a snow covered slope.
426376,A man snowboarding down the side of a snowy mountain.
336265,there is a boy playing frisbee in the grass
336265,"A boy is standing in a field, playing frisbee."
336265,a woman stands on a grassy hill in the mountains
336265,A boy is playing with a toy in a grassy field.
303499,2 men wearing red cloaks riding on horseback.
303499,two men in red coats riding horses in front of a palace
459153,A young male sitting on a park bench typing on a laptop. 
459153,The man is sitting on the park bench using his laptop. 
459153,A young man on a wooden bench using a laptop.
459153,A man uses his computer on a park bench.
98716,Elderly man sitting on a bench facing the beach. 
98716,A man is sitting in a bench overlooking a lake.
98716,A man sitting on a bench with a view of the ocean behind him.
98716,A man lounges on a bench watching the ocean.
106912,A young boy riding a skateboard across a parking lot.
106912,A boy skateboards on concrete behind a backyard.
254368,A man laying in bed holding a plate of food.
254368,A black and white picture of a man eating in his bed. 
254368,Adult man wearing bathrobe in bed while eating plate of food.
156071,"A rodeo area with men in cowboy hats, rodeo clowns and an audience in the stands."
352684,A man in shirt and tie standing in lobby next to other people.
352684,A professionally dressed man poses for the camera.
352684,A man standing in a public area near some other people
156076,A couple of men and one young man eating pizza.
156076,The men are enjoying the very large pizzas.
262587,A man riding a wave on top of a yellow surfboard.
262587,A man riding a wave back to the shore
262587,a man riding the waves on a surfboard
238013,"A man is playing tennis, the ball is coming toward him."
238013,A man about to hit a tennis ball.
238013,A man is preparing to hit a tennis ball. 
238013,A man prepares to hit a tennis ball
238013,The sun shines as the man plays tennis at a tennis court
278973,A man with long hair wearing a red suit surfing. 
278973,a man that is on a surfboard in water
278973,a man on a surfboard in the water at the beach
278973,A man starting to stand up on a surfboard in the ocean.
278973,A man in a wet suit is surfing.
541123,Four men on a tennis court playing a doubles tennis match.
442836,Two grown men and a young child playing frisbee in a field
442836,older man tries to block younger man's frisbee throw
229849,an image of a female tennis player that is returning a serve
229849,A tennis player jumping up in the air with her tennis racket.
25057,A man without a shirt in a park holding a beer and a frisbee. 
25057,A man throwing a frisbee while holding a beer
25057,a man holding a drink with a frizbee in front of him
25057,A man without shirt on is throwing a frisbee.
451043,A little boy riding skis down the side of a snow covered slope.
131556,a man skiing along a rail on the snowy hill 
131556,a man wearing skis is posing for the camera
131556,A man riding skis on top of a ramp.
205289,A man driving an antique truck on a grassy field.
66038,A man and a girl under an umbrella at the beach.
352760,A man riding skis while flying through the air.
352760,A man performing a trick in the air with a pair of skis.
352760,A skier attempts a jump hon his skis.
360960,"Several people walking on a sidewalk, with one man holding an umbrella."
459272,A woman holding a smart phone next to a group of people.
459272,A women wearing a scarf using her cell phone
459272,A woman holding a cell phone and standing in a littered field with others.
459272,A woman in yellow scarf holding a cellphone.
459272,A person on her cell phone in a large crowd of people.
205324,the boy has on black sneakers and his trying to grab the frisbee
205324,A pair of men playing frisbee with each other on a field.
205324,The men are playing a game of Frisbee on the field. 
205324,A couple of men standing on top of a grass covered field.
205324,A group of young men chasing a frisbee.
451084,A young boy jumping in the air on a skateboard
451084,A boy on a skateboard in the air during a trick.
549390,A woman in business attire riding a bicycle. 
549390,The woman is riding a bike in a dress.
549390,An older woman rides a bicycle down the street.
549390,A woman wearing a dress is riding a bike.
180751,a man pouring a drink into a wine glass 
180751,A man pouring a glass of wine on top of a wooden table.
180751,A man in an orange shirt pouring a glass of wine at a wine bar.
180751,there is a male bartender that is pouring a glass of whine
500257,A few men working on moving luggage at an airport
500257,A person is near a row of luggage carts as one man pushes a cart.
270883,A woman in lingerie is laying on a soft bed.
270883,A woman in lingerie laying on a bed.
270883,A woman in lingerie is bound to a bed.
270883,Young woman erotically bound on top of bed.
270883,A woman lays on a bed in her underwear.
303653,A woman in black riding a horse by a mirror.
303653,A woman riding a horse and looking at her reflection in a mirror.
98853,A man playing a game of tennis on a tennis court.
98853,There is a man hitting a tennis ball.
500270,A woman in black shirt riding a skateboard.
500270,A man riding a skateboard at a skate park.
500270,A young woman on a skateboard in a skate park
328238,A man wearing a blue shirt catching a white frisbee.
328238,a man in a blue shirt playing with a white ball
328238,A man catching a frisbee in a park 
328238,the woman is playing frisbee a the family picnic in the park.
328238,A man in a grassy field about to catch a frisbee.
254516,A baseball player practicing his swing at a game.
295478,A woman walking a small white dog down a street.
295478,A woman is walking with a dog trailing behind her on a leash. 
295478,A woman in a halter top and bellbottoms is walking her dog.
295478,A woman with headphones in walking her white dog.
467511,A biker chic in high heel boots is talking to a man at a gas pump.
467511,A man stands in between a gas pump and a motorcycle while a woman in heels stands next to them.
467511,A man and a woman in helmets standing at a motorcycle.
270908,A man laying on top of a tennis court while holding a tennis racquet.
270908,This is an image of a man laying down with a tennis racket.
270908,A male tennis player lays on the ground
516677,A man is lacing his boots while several others are ready to ski.
451144,Two men are standing atop a snowy hill top.
172617,A woman sitting on the ground next to luggage.
172617,A woman sitting on stone steps with a suitcase full of books.
172617,A woman reads a book while sitting on steps near a suitcase full of books.
172617,The woman is setting on the steps with a case of books.
172617,A woman sitting on stairs has a suitcase full of books. 
492110,A man looking at a laptop with a confused look
492110,A man sits in a coffee shop working on his laptop computer.
492110,A man on a laptop in a coffee shop.
492110,A man sitting at a desk on a laptop computer.
492110,A man is using his laptop in a cafe
451155,A woman sitting in front of a laptop computer.
451155,a woman sitting on the bed of a dark room with the laptop screen lighting on her face
451155,there is a girl sitting in the dark using a computer
451155,A woman with her laptop on a bed in a dark room.
451155,a female sitting in a bed with the lights off working on a lap top computer
205401,A seaplane parked on the shallow end of the sea as a man approaches. 
33368,A man that is on a tennis court with a racquet.
33368,there is a male tennis player wearing a blue shirt playing on the court
565853,A man playing Wii on a large flat screen tv 
565853,A young man standing in front of a flat screen TV.
565853,The man is standing in front of a television playing a game 
565853,A man playing a game with a remote controller.
49759,a boy is preparing to serve a volley ball
49759,A man serving a volley ball on a court.
49759,The boys are playing volleyball in the gym.
49759,A gym full of men playing volleyball with each other.
139872,A dog laying in the grass with a frisbee near his arms. 
303713,A man swinging a tennis racket at a tennis ball.
303713,A player winds up to serve a tennis ball to his opponent.
303713,A male tennis player is getting ready to hit the ball.
303713,A man swinging a tennis racquet on top of a tennis court.
303713,a male tennis player in a white shirt 
172648,a man leaning over the back of a truck in front of buildings
172648,A man bending into the back of a truck on a street.
172648,A man in a construction outfit leaned over a utility truck.
172648,a man reaches in the back of a truck 
172648,a man is reaching for something in the truck bed
557672,A woman walking down a street holding an orange umbrella.
557672,A woman is walking down the street holding an umbrella.
557672,A woman with child pack on holding an umbrella.
172649,A boy is riding a skateboard on a wall.
172649,A guy wear a short khaki pants and brown tee is on a skate board.
287347,A woman prepares a pizza while a man watches.
287347,A pretty young lady making a pizza next to a man in a kitchen.
287347,A man and a woman standing over two pizzas.
565877,A woman sitting on the couch with her laptop in the house.
565877,a woman in glasses holding a laptop on a courch
565877,A girl is sitting on a couch holding a laptop computer.
565877,A girl wearing a hat sits with her laptop.
230008,A police officer is outside on his bike.
230008,A police man on a motorcycle is idle in front of a bush.
311928,A young boy swinging a baseball bat towards a ball.
311928,A little boy is hitting a ball with a bat.
311928,A little boy gets ready to hit the ball with his bat.
311928,A young boy swings at a ball with a bat
311928,a small boy with a bat and ball on some grass
156292,A woman standing in front of an outdoor wall decorated with images and clocks.
156292,"A man stands in front of a wall featuring a variety of dials, clocks, and pictures. "
8844,Smiling lady standing by two bunches of bananas on a table.
8844,A woman smiling as she walks toward bunches of bananas. 
8844,a black woman standing over a bushel of yellow bananas
8844,An African woman is smiling above a large group of bananas. 
8844,A middle aged black woman is standing behind a table full of bananas.
25228,A woman sitting on a surfboard in the ocean.
25228,A women sits on top of an object in a body of water. 
25228,A woman looks to her right while straddling a surfboard in the ocean.
25228,a girl in all black surf boarding in a red surfboard
25228,girl sitting on surfboard at sunset on the ocean
377486,A man on a horse looking towards a bull.
377486,"A large square concrete wall, which shows people over the rim, has inside of it a pinkish cloud of dust and a fallen bull as well as two horses, the closest of which is trotting forward with a man in western gear , who is looking back at the bull."
328337,A little boy wearing a red shirt holding a white frisbee.
328337,A boy prepares to throw a frisbee to someone out of the shot.
328337,young male preparing to throw a white plastic Frisbee
328337,Young boy almost ready to throw a frisbee.
328337,A boy preparing to throw a frisbee outside.
369310,A toddler boy is on a white pad playing a video game.
369310,A boy in helmet playing a game with a Nintendo Wii controller.
369310,A boy wearing a helmet is playing video games.
369310,boy wearing a helmet while playing a video game
246436,an image of a man slicing a small pizza
246436,A man cutting through a pizza that is sitting on top of a stove.
246436,A man making food on a range in a kitchen.
246436,A young man prepares food in a modern kitchen.
369323,A woman holding a tennis racquet on top of a tennis court.
369323,A girl in a tennis outfit getting ready to swing a tennis raquet on a tennis court.
369323,"A woman on a tennis court, holding up a tennis racket with both hands."
369323,A woman holding a tennis racket on a court.
369323, The girl is ready to hit the tennis ball.
459437,A row of sheep by a wooden fence with a guy holding a bowl. 
459437,Four sheep standing against a fence looking at a man with a red bowl.
246454,Girl bending down with hand bag on her shoulder petting two dogs.
246454,A girl kneels down to pet two dogs.
246454,A black and white photo of a girl petting three dogs.
246454,A little girl kneeling down to pet two dogs on a leash.
361147,A man in a tennis match holding his racket.
361147,The tennis player looks solemn holding his racket.
361147,A tennis player is standing on a tennis court with a racquet in his hand.
74457,A  man standing on a beach while holding a white surfboard.
74457,A man holding a surfboard on a beach with a pier in the background.
74457,a man standing at the beach with a surfboard and a paddle 
107226,Two men being drug on buggies by dogs.
107226,The man is riding a bike led by several dogs.
279278,The man is riding his skateboard down the street. 
328430,A tennis ball and a woman with a racket on a tennis court.
328430,A woman in a very short skirt swinging a tennis racquet at a ball.
328430,a woman reaching up while jumping to hit a tennis ball 
377588,A guy sliding to a base in baseball.
377588,A group of men during a baseball game with wall in the background.
336628,A man in dinosaur covered clown suit talking on a phone on a trolley
336628,A man in a clown suit is stepping off a trolley.
492282,A man who is riding a horse down a brick street.
492284,A woman pets the cat that is standing on the rocks.
492284,a woman standing near a gate made of rock with her black cat 
500477,An adult sheep is getting shorn by a male farmer.
500478,A man in white baseball uniform throwing a ball.
82688,An elderly man and woman playing on a nintendo wii.
353027,A man pulling a slice of pizza away from a pizza.
197388,Five men skiing in the snow in the same direction.
197388,Four men ski down a snowy cliff in team clothing.
785,A woman posing for the camera standing on skis.
785,a woman standing on skiis while posing for the camera
785,A woman in a red jacket skiing down a slope
785,A young woman is skiing down the mountain slope. 
785,a person on skis makes her way through the snow
361238,A woman sitting in front of a giant pizza.
361238,The girl with glasses is eating a slice of pizza.
361238,a woman in a black jacket and a pizza 
353051,A woman with blue hair standing next to a horse.
353051,a woman with green hair is standing near a horse
353051,The young woman is making a face at the horse.
353051,"A woman with green hair standing beside a brow and white horse
"
353051,a woman in green hairs on the field with a brown horse
82715,A man on a surfboard surfing a wave in the ocean.
82715,A man riding a wave on a surfboard.
82715,A man on a surfboard riding an ocean wave.
295713,A statue is sitting on a bench and a woman sits on a cement block.
295713,A woman sitting on a bench next to a statue sitting on a bench.
295713,A woman sitting looking at her phone with an iron cast woman next to her.
295713,A beautiful woman sitting on a bench next to a bronze statue.
295713,"A woman sitting on a bench near a statue, checking her phone."
369442,A group of men and goats on side of street under a tree.
377635,A guy on a skate board high in the air.
377635,A man riding a skateboard up the side of a ramp.
287527,A young man and woman holding their heads close to each other.
287527,a guy and a girl posing for a picture
426795,A man eating a giant piece of bread.
426795,A guy is hold up a big pastry to is mouth. 
426795,A young man with long hair taking a bite out of a full loaf of bread.
25394,Hey man that is opening up a bottle of wine.
25394,A young man serving wine at a bar.
508730,A couple of little girls sitting next to each other in a bathroom.
213830,A couple of men standing on top of a tennis court.
213830,Couple of men during couples match playing tennis about to contact ball
492362,A man on a skateboard riding by food vendors.
492362,A skateboarder riding his board down the sidewalk.
492362,A young man riding a skateboard with red wheels.
492362,A boy is riding a skateboard past many food carts.
492362,A man in front of a vendor on a skateboard.
107339,A pretty young lady standing in front of a couch behind a wooden table.
107339,Two girls in a room are looking at something.
107339,A young girl is using a video game remote control.
107339,Two girls play Wii in a room with ourange rugs and white sofas.
90956,A man riding skis down a snow covered ski slope.
172877,A man in a shirt and tie sitting on a white chair next to a lamp.
172877,Man in business clothes sits on a chair with his hands crossed. 
172877,A man dressed with a tie sits in a chair. 
25424,A man hitting a tennis ball with a tennis racquet.
25424,A male tennis player swinging at a tennis ball.
426836,A man standing next to a  body of water while flying a kite.
426836,A boy is playing with a kite in a wet land.
500565,A woman holding a child wrapped in a towel brushing her teeth.
500565,A woman is holding a baby who is wrapped in a towel and holding a toothbrush
500565,A woman holding a little boy who is brushing his teeth.
500565,A baby with a toothbrush in his mouth while being held by a woman
574297,A man in a helmet is riding a horse across a dirt road
574297,a man sits on top of a horse 
574297,A man that is riding a horse on a dirt road. 
574297,A man dressed as a jockey riding a horse along a path.
557916,A little girl sitting at the end of a bed looking at a teddy bear.
557916,A little girl sitting on a bed with a teddy bear.
557916,A girl sitting on a bed in a room.
369503,A woman standing in an un-lived in kitchen
369503,The old woman is in the kitchen ready to make food
525155,A man in black carrying a sheep on his shoulders.
525155,The man with the black sweatshirt carries a wooly sheep.
525155,A man walking with a goat on his shoulders
525155,A man carrying a sheep on his shoulders. 
33638,A woman observing something on a kitchen stove.
33638,A woman is cooking on a large black stove
33638,A woman cooking on an old fashioned stove.
33638,A man preparing food on a large old oven.
33638,A woman wearing shorts bends over a frying pan on a stove.
872,Two men playing baseball in a field on a sunny day.
872,A couple of men play baseball and the batter runs for base.
451435,A man with a tennis racket and ball is on a tennis court.
451435,A man holding a tennis racket playing on a tennis court.
451435,A man holding a tennis racquet on a tennis court.
99182,A man looking through a book on top of a table.
99182,A man sitting on a bed looking at a book 
99182,a man is flipping through a book on a bed
99182,A man sitting on a bed flipping through pages of a book. 
99182,A man in a black jacket is flipping through a large book.
885,a male tennis player in white shorts is playing tennis
885,This woman has just returned a volley in tennis
885,A man holding a tennis racket playing tennis.
885,The man balances on one leg after serving a tennis ball.
410496,A man plays tennis during a competition while a crowd looks on. 
410496,A man on a court swinging a tennis racket.
410496,A tennis player posed to swing his racket.
410496,A man playing tennis getting ready to take a swing
467848,A man standing behind a truck with a red trailer sitting in front of a building.
410510,A boy playing tennis on a blue and green tennis court. 
410510,a young boy playing tennis on a court
410510,A young man playing tennis as seen from above.
410510,A young boy on a tennis court prepares to hit a tennis ball with his racquet.
353180,Over ten men pushing a charter bus with a woman watching.
263068,A man in dark clothing is on a cement step doing a trick with his skateboard.
263068,A young man riding a skateboard on top of a cement block.
263068,A boy on a skateboard at a skate park at night.
263068,Boy making high jumps with his skate board
222118,A woman talking on a cell phone while holding luggage.
222118,A woman on a cell phone with a bag.
222118,A woman is standing near a brick wall
222118,A woman holding a purse and a cellphone.
99242,An older man is skiing down a snowy mountain.
99242,An older man downhill skiing down a slope.
99242,A man skiing down a snowy hill alone.
99242,a man wearing ski equipment on a snowy slope 
140203,A woman carrying her dog on a busy city street.
140203,a woman holding a dog and a truck
140203,woman is walking with a dog in her hands
517069,Two women waiting at a bench next to a street.
517069,A woman sitting on a bench and a woman standing waiting for the bus.
517069,A woman sitting on a bench in the middle of the city
517069,A woman sitting on a bench and a woman standing behind the bench at a bus stop
517069,A woman and another woman waiting at a stop.
173008,A man in a tropical print shirt with glasses and long hair is eating a banana.
173008,A man wearing a Hawaiian shirt eats a banana instead of pastries.
173008,A man eating a banana at a kitchen counter.
394199,A woman sitting on top of a red motorcycle.
394199,A woman takes a selfie in her backyard on a moped.
394199,"A woman with glasses and a red bandana around her neck, smiling next to a red motorcycle. "
394199,A woman is posing next to a red motorcycle.
394199,a woman on her bike in her yard
476119,a man skating on the road very fast
476119,A man riding a skateboard down a street in front of a red car.
476119,A man with a helmet on riding a skateboard in the street. 
394206,The men and women was sitting in the back of the truck
394206,A group of young men wearing sunglasses are crowded into the back of a truck.
394206,A large group of men traveling on the back of a truck.
33759,A boy swinging a baseball bat at a game.
33759,A young boy swinging a baseball bat at a baseball.
33759,a boy swinging his baseball bat at a baseball
50145,A shirtless man walking a bike down a rural street.
50145,A shirtless man walking down city street with a bike
50145,"This gentleman is shirtless, walking his bicycle down the street of an Asian city."
50145,Shirtless man pushing his bike on a city street. 
320490,A little boy is swinging a baseball bat at a ball.
320490,this is a little boy swinging a bat
320490,a boy is swinging a baseball bat at a game
320490,A boy swinging a baseball bat at a ball.
500716,A guy holding a pair of metal scissors in front of his eye.
500716,A man is wearing surgical type scissors as bifocal glasses.
500716,"A man peering through the handle of folding scissors, as if they were eyeglasses."
500716,A man is looking through the handle of some scissors.
500716,A man looking through a thumb hole on a scissors.
140270,The woman is riding the horse on the course.
140270,a woman dressed in English riding clothes rides a horse 
484351,A classroom with kids and various men in suits.
484351,an image of man having lunch with kids
435205,A pregnant with writing on her stomach while holding a brown teddy bear.
435205,a very pregnant woman holing a teddy bear by her belly as writes on her stomach
435205,Pregnant woman writing on her stomach holding a yellow teddy bear. 
435205,A person holding a teddy bear as she writes on her belly.
435208,A young woman sitting cross legged on an apartment sofa.
435208,A woman sitting cross legged in a living room area
435208,A woman sitting on a cushion in front of a white table.
435208,A woman sitting in a room near some computers.
566282,A pair of well dressed men kick a soccer ball on the sidewalk.
566282,Two men kicking a ball on a city street.
566282,A couple of men kicking around a soccer ball.
566282,Two men are kicking a soccer ball on the city sidewalk. 
164885,A man riding skis down a snow covered path.
164885,A male skier nonchalantly goes off of a jump. 
197658,A man getting ready to catch a baseball.
427034,A brown and black dog standing next to a man sitting on a laptop computer.
17436,A man sitting on a bench with a tall building behind him.
17436,A man sitting on a bench with a church behind him.
17436,A man sits on a bench with a church in the background.
17436,a male in a white shirt is sitting on a bench and a building
17436,A man is on a bench in front of a steple tower.
410650,A beautiful young woman swinging a tennis racquet on a tennis court.
410650,A woman hitting a tennis ball with a tennis racket
410650,a woman on a tennis court getting ready to serve the ball
410650,an image of a girl getting ready to serve on the tennis court
558114,A basketball couch walking with his team on a court.
361506,A man on a skateboard doing a trick.
361506,a man performing a trick off of a curb
549930,A man and woman are walking in the rain with an umbrella
549930,A man and woman that is under an umbrella.
549930,A man and a women walking under an umbrella.
82986,Two men watch another throw a Frisbee in a field. 
82986,A trio of men throwing a Frisbee in a field.
82986,A group of men playing a game of frisbee.
304180,A woman with a skate board purchased food.
304180,A woman in a short red dress is holding her skateboard while getting food from a take out window.
304180,A woman is standing near a snack bar with a skate board. 
