image_id,id,coco_caption,,,,
187362,384681,A man holding a surfboard on top of a sandy beach.,A woman holding a surfboard on top of a sandy beach.,,,
187362,385368,A man stands on the beach holding his surfboard.,A woman stands on the beach holding her surfboard.,,,
187362,385437,A surfer holding a surf board at the edge of the beach watching the surf.,A surfer holding a surf board at the edge of the beach watching the surf.,,,
115898,471833,A man in black wetsuit on white surfboard riding wave.,A woman in a gray and black wetsuit on a pink surfboard riding wave,,,
115898,474125,A man surfing rocking waves in the water.,A woman surfing rocking waves in the water.,,,
115898,474566,A man is on his surfboard in the water. ,A woman is on her surfboard in the water.,,,
115898,476840,A surfer is on the water and is waiting for a wave. ,A surfer is on the water and is waiting for a wave.,,,
115898,820449,A man riding a surfboard in the water.,A woman riding a surfboard in the water.,,,
54164,780469,a man that is surfing on some water,A woman riding a surfboard in the water.,,,
54164,782131,a person riding a surf board on a wave ,A woman that is surfing on some water.,,,
54164,788377,a guy wearing a wet suit surfing the wave,a person riding a surf board on a wave ,,,
54164,789703,a man in a wetsuit riding a wave on a surfboard,A girl wearing a wet suit surfing the wave.,,,
54164,790675,A man that is standing on a motorcycle in the water.,A woman in a wetsuite riding a wave on a surfboard.,,,
51314,164058,A man is surfing on a small wave.,A woman is surfing on a small wave.,,,
51314,167763,A man that is surfing in the water.,A woman that is surfing in the water.,,,
51314,168303,the surfer is riding the wave sideways along the beach.,The surfer is riding the wave.,,,
51314,169737,A surfer in a wetsuit sliding through the water.,A surfer in a wetsuit sliding through the water.,,,
51314,171921,a man riding a surfboard on a wave in the ocean.,A woman riding a surfboard on a wave in the ocean.,,,
32570,220769,A man riding a wave on top of a white surfboard.,A woman riding a wave on top of a white surfboard.,,,
32570,249407,A photo inside and ocean wave looking at a person on a surfboard.,A photo of a person on a surfboard riding an ocean wave.,,,
32570,251894,A crashing wave is about to close in on a surfer.  ,The surfer is riding on a wave.,,,
32570,252089,A man riding a wave on a surf board.,A woman riding a wave on a surf board.,,,
32570,252179,A man on a surfboard inside a large wave.,A woman on a surfboard on a wave.,,,
7278,687469,there is a male surfer that is riding in the wave,There is a female surfer that is riding in the wave,,,
7278,688003,a man on a surf board rides a wave ,A woman on a surf board rides a wave,,,
7278,690046,"A man in a wet suit riding a wave on a surf board.
",,,,
7278,690127,A man that is on a surfboard in the water.,A woman that is on a surfboard in the water,,,
7278,693361,A surfer in the ocean on the crest of a wave.,A surfer in the ocean on the crest of a wave. ,,,
4765,84383,A man riding a surfboard on a wave in the ocean.,A woman riding a surfboard on a wave in the ocean.,,,
4765,86603,a man in his wetsuit riding a big wave on his surfboard,A woman in her wetsuit riding a big wave on her surfboard.,,,
4765,88973,A man in a yellow shirt and wetsuit surfing.,A woman in a black shirt and wetsuit surfing.,,,
4765,89144,A surfer is riding on a small wave.,A surfer is riding on a small wave.,,,
4765,91175,A man surfing on a large wave in the ocean.,A woman surfing on a large wave in the ocean.,,,
328238,597934,A man wearing a blue shirt catching a white frisbee.,A woman wearing a plaid shirt catching a frisbee.,,,
328238,600088,a man in a blue shirt playing with a white ball,A man in a plaid shirt playing with a frisbee,,,
328238,600205,A man catching a frisbee in a park ,A woman catching a frisbee in a park,,,
328238,603754,the woman is playing frisbee a the family picnic in the park.,The woman is playing frisbee in the park.,,,
328238,607408,A man in a grassy field about to catch a frisbee.,A woman in a grassy field about to catch a frisbee.,,,
325991,490373,A young man in a red shirt is throwing a frisbee.,A young woman in a purple shirt is throwing a frisbee.,,,
325991,492155,A man gets ready to throw a frisbee in a park.,A woman gets ready to throw a frisbee in a park.,,,
325991,493040,A man holding a frisbee with one hand in the grass.,A woman holding a frisbee with one hand in the grass.,,,
325991,495167,A man in a red shirt tossing a white frisbee.,A woman in a purple shirt tossing a white frisbee.,,,
325991,819115,a man is about to throw a Frisbee in a grassy field,a woman is about to throw a Frisbee in a grassy field,,,
227482,623481,A young man running towards a white Frisbee.,A young woman running towards a white Frisbee,,,
227482,623865,a man leaning over as he reaches for a white frisbee,A woman leaning forward as she reaches for a white frisbee,,,
227482,631287,a male in a gray shirt grass and a white frisbee,"A woman in a white shirt, grass and a white frisbee",,,
227482,635703,"A young man is catching or throwing a frisbee,",A young woman is catching a frisbee,,,
227482,639726,A smiling man catching a frisbee out of the air.,A woman catching a frisbee out of the air,,,
127263,741618,A couple of men playing a game of frisbee.,A couple of women playing a game of frisbee.,,,
127263,742446,Two men on opposite teams jumping for a Frisbee.,Two women on opposite teams jumping for a Frisbee.,,,
127263,742812,Two men are reaching to catch a frisbee.,Two women are reaching to catch a frisbee.,,,
127263,824989,Two men playing a game of Frisbee in a field.,Two woman playing a game of Frisbee in a field.,,,
127263,826698,"The men are playing a game of Frisbee on the grassy field,",The woman are playing a game of Frisbee on the grassy field.,,,
291619,306566,"There are two men playing frisbee on a field 
",There are two women playing frisbee on a field.,,,
291619,308510,Two young men playing frisbee at night on a sports field,Two young women playing frisbee on a sports field.,,,
291619,308663,A man catching a frisbee as another looks on.,A woman catching a frisbee as another looks on.,,,
291619,310109,A Frisbee player is about to catch a thrown Frisbee.,A Frisbee player catches a thrown Frisbee.,,,
291619,311030,A man leaping up to catch a frisbee with another man running behind him.,A woman reaching up to catch a frisbee with another woman running behind her.,,,
88485,240578,The young man is outside playing a game of Frisbee. ,The woman is outside playing a game of Frisbee.,,,
88485,247307,A man is holding a yellow frisbee outside,A woman is holding a white frisbee outside,,,
88485,251255,A man outside playing frisbee in front of a building.,A woman outside playing frisbee,,,
88485,257309,A young man in black clothes holding a yellow frisbee,A woman with sunglasses and a white shirt holding a white frisbee,,,
88485,257828,A boy is throwing a frisbee outside a building.,A woman is throwing a frisbee.,,,
21604,359591,A man in a suit is wearing a lit up tie.,A woman in a suit is wearing a tie.,,,
21604,360626,A man posing for a portrait wearing a lighted tie,A woman posing for a photograph wearing a tie.,,,
21604,362264,a man in a suits fixes his tie ,A woman in a suit wearing a tie.,,,
21604,365267,A man in glasses and a light up tie.,A woman and a tie.,,,
21604,366002,A man with glasses and sideburns straightening his necktie that has lights on it.,A woman who has her hands in her pockets and wearing a tie.,,,
131444,573335,A man wearing a hat and a gray jacket.,A woman wearing a blue shirt and pink plaid tie.,,,
131444,578426,A man with a suit and tie and a fedora on.,A woman with a shirt and tie.,,,
131444,578882,A man wears a suit with a blue shirt and a multicolored tie.,A woman wears a blue shirt and pink plaid tie.,,,
131444,579761,A man in a suit and tie wearing a hat.,A woman in a shirt and tie.,,,
131444,584027,a man that is in a suite and a tie,A woman that is in a shirt and a tie.,,,
152214,166258,"A man in a suit smiling at the camera
",,,,
152214,171352,A guy in a business suit and glasses smiling,A woman in a business suit smiling.,,,
152214,175045,a smiling man wearing a suit and tie in front of a colorful wall,A smiling woman wearing a suit and tie in front of a wall.,,,
152214,180301,A middle aged man dressed in a blue suit smiling at the camera. ,A woman dressed in a gray suit smiling at the camera.,,,
152214,188980,a close up of a person standing wearing a suit and tie,A close up of a woman wearing a suit and tie.,,,
163682,144343,A businessman is sitting in a chair and smiling for a photo.,A businesswoman is sitting in a chair and smiling for a photo,,,
163682,145972,A smiling man is wearing a hot pink tie.,A smiling woman is wearing a striped tie.,,,
163682,151372,"A man in an office, wearing a shirt and tie, smiles at the camera.","A woman in an office, wearing a suit and tie, smiles at the camera.",,,
163682,156073,Man wearing a blue shirt and pink tie posing for a picture sitting by a window.,Woman wearing a gray suit and striped tie posing for a picture sitting by a desk.,,,
163682,156121,A man in a blue dress shirt and tie sitting in an office chair.,A woman in a gray suit and tie sitting in an office chair.,,,
31093,359076,A skateboarder is on top of a cement bowl.,A skateboarder is on top of a cement bowl.,,,
31093,360444,A man on a skateboard is doing a trick.,A girl on a skateboard is doing a trick.,,,
31093,361740,A male skateboarder is trying to pull off a trick on the ramp. ,A female skateboarder is trying to pull off a trick on the ramp.,,,
31093,362370,a man doing a skateboard trick on top of pool ,A girl doing a skateboard trick on top of a bowl.,,,
31093,366066,A man on a skateboard wearing a helmet and safety pads while riding in an empty swimming pool.,A girl on a skateboard wearing a helmet and safety pads while riding in an empty skateboard bowl.,,,
72281,430781,The young man in the cap jumps up on a skateboard.,The young woman in the cap on a skateboard.,,,
72281,434183,A man on a skateboard with a hat. ,A woman on a skateboard with a hat.,,,
72281,434744,A skateboarder jumping over an obstacle on his board.,A skateboarding on her board.,,,
72281,434969,A guy on a skate board high in the air.,A girl on a skate board on a ramp.,,,
72281,435602,A man that is in the air with a surfboard.,A woman that is on her skateboard. ,,,
13201,156157,"A young man with long hair, wearing all black, doing stunts on a skateboard.","A young woman, wearing a green tank top and jeans, doing stunts on a skateboard.",,,
13201,160057,The skate boarder is doing a jumping trick.,The skate boarder is riding a skateboard.,,,
13201,162313,A skateboarder careening off concrete in a park,A skateboarder riding along a ramp in a park.,,,
13201,165445,A man is grinding a ramp on a skateboard,A woman is riding along a ramp on a skateboard.,,,
13201,169816,A man is airborne on a skateboard pointing to the sky behind him.,A woman is riding a skateboard with her arms pointed out.,,,
125472,704972,A man flying through the air while riding a skateboard.,A woman is riding a skateboard.,,,
125472,708404,A man is doing tricks on a skateboard.,A woman is doing tricks on a skateboard.,,,
125472,709382,A skateboarder jumps while trying to perform a trick.,A skateboarder jumps while trying to perform a trick.,,,
125472,720071,a man in the air standing above the skateboard,A woman is standing on the skateboard.,,,
125472,720908,a person attempting a jump with a skateboard,A person attempting to ride a skateboard. ,,,
128699,471129,A man that has a skateboard in the air.,A woman that has a skateboard in the air.,,,
128699,478119,A MAN IS JUMPING ON HIS SKATE BOARD IN THE SKY ,A WOMAN IS JUMPING ON HIS SKATE BOARD IN THE SKY ,,,
128699,478242,A boy jumping on a brick patterned ramp on his skateboard. ,A girl jumping on a gray ramp on his skateboard. ,,,
128699,479949,A photo of a man doing a trick on his skateboard.,A photo of a woman doing a trick on her skateboard.,,,
128699,821244,A man makes a jump on his skateboard before a crowd.,A woman makes a jump on her skateboard.,,,
157365,345379,,,,,
157365,345658,A guy rides his skate board on the city sidewalks.,A woman rides her skateboard on the sidewalks.,,,
157365,345847,a person skateboarding down the road at night,A person skateboarding down a road during the day.,,,
157365,346489,there is a man wearing a plad shirt riding a skateboard,There is a woman wearing a black tank top riding a skateboard.,,,
157365,346618,A man riding a skateboard down a sidewalk.,A woman riding a skateboard down a sidewalk.,,,
85772,19066,A young man taking a swing at a tennis ball.,A young woman taking a swing at tennis ball.,,,
85772,22705, a blonde haired teenage man is swinging a tennis racquet at a ball.,A brown haired woman is about to swing a tennis racquet at a ball.,,,
85772,23125,A male tennis player preparing to strike the incoming ball,A female tennis player prearing to serve the ball.,,,
85772,23350,A man is about to hit a tennis ball with a racquette. ,A woman is about to hit a tennis ball with a racquette.,,,
85772,26233,Young man swinging a tennis racket on a tennis court,Young woman swinging a tennis racket on a tennis court.,,,
19432,608836,a man playing tennis going for a low ball,A woman playing tennis and swinging her racket.,,,
19432,609316,A tennis player with a racket hitting the ball,A tennis player with a racket.,,,
19432,610747,He's almost got this tennis ball at the end of his racket.,She's almost about to swing her racket.,,,
19432,611368,A man with a racquet standing on a tennis court.,A woman with a racquet standing on a tennis court.,,,
19432,612064,A man playing tennis on a blue tennis court,A woman playng tennis on a green tennis court.,,,
64718,451753,there is a male tennis player about to hit the ball,there is a female tennis player about to hit the ball,,,
64718,453277,A male Tennis player is about to swing with his racket. ,A female Tennis player is about to swing with her racket. ,,,
64718,455101,A man is swinging a tennis racket at a ball.,A woman is swinging a tennis racket at a ball.,,,
64718,457006,A man getting ready to swing at a tennis ball.,A woman getting ready to swing at a tennis ball.,,,
64718,821202,A man hitting a tennis ball during a tennis match.,A woman hitting a tennis ball during a tennis match.,,,
127530,323112,A man in blue shirt and white shorts playing tennis.,A woman in red tennis dress playing tennis.,,,
127530,325569,Male professional tennis player swinging at a tennis ball.,Female professional tennis player swinging at a tennis ball.,,,
127530,327690,a tennis player swinging a racket at a ball,A tennis player swinging a racket at a ball,,,
127530,329244,A man on a court swinging a tennis racket.,A woman on a court swinging a tennis racket.,,,
127530,331326,A man hitting a tennis ball on a professional court.,A woman hitting a tennis ball on a professional court.,,,
88970,491766,A man serving a tennis ball on top of a tennis court.,A woman serving a tennis ball on top of a tennis court.,,,
88970,496320,A man playing a tennis match is serving a tennis ball.,A woman playing a tennis match is serving a tennis ball.,,,
88970,496782,A MAN IS  PLAYING TENNIS ON THE TENNIS COURT,A man is playing tennis on the tennis court,,,
88970,503646,A tennis player that is serving the ball.,A tennis player that is serving the ball,,,
88970,505953,A man on a tennis court about to hit the ball.,A woman on a tennis court about to hit the ball.,,,
153529,33383,A woman with suitcases waiting for a train.,A man stands next to suitcases.,,,
153529,34124,A woman stands next to her luggage on a platform.,A man stands next to his luggage in a room.,,,
153529,36020,a woman with her luggage at a train station,A man with his luggage in a room.,,,
153529,38360,A woman stands beside her luggage at an airport. ,A man stands beside his luggage in a house.,,,
153529,40049,People standing with their luggage on a train platform.,A man standing with his luggage next to a couch. ,,,
81594,713169,A woman holding an umbrella while standing on top of a wooden deck.,A man holding an umbrella while standing in front of a gate.,,,
81594,718194,A woman with an umbrella standing on a deck. ,A man with an umbrella standing.,,,
81594,719583,a woman is holding a black umbrella and smiling,A man holding a pink umbrella and smiling.,,,
81594,720408,A woman holding an umbrella near a sculpture.,A man holding an umbrella near a gate.,,,
81594,720777,a woman holding an umbrella next to a wall ,A man holding an umbrella next to people. ,,,
350002,102278,Woman in party dress sitting in beauty shop with hair dryer.,Man sitting in beauty shop with hair dryer. ,,,
350002,106571,a woman in a dress and pale makeup sitting by a table,A man in pants sitting by a table.,,,
350002,111605,A woman poses in a dress next to a hair dryer. ,A man holding a bag sits under a hair dryer. ,,,
350002,114143,A model in a blue and white dress sits for a photo. ,A man in a red shirt sits for a photo.,,,
350002,114929,A woman with white makeup is in a salon.,A man is in a salon. ,,,
384136,184768,A woman points a hair drier like it is a gun.,A man points a hair drier like it is a gun.,,,
384136,192184,A woman is pointing and holding a hair dryer.,A man is pointing and holding a hair dryer.,,,
384136,194170,A young woman holding a hair dryer like a gun.,A man holding a hair dryer like a gun.,,,
384136,196138,A woman brandishes a hair dryer with a suspicious look,A man brandishes a hair dryer.,,,
384136,196147,A WOMAN IS HOLDING A HAIR DRYER IN HER HAND,A man is holding a hair dryer in his hand. ,,,
507473,459634,A girl is taking a selfie while brushing her teeth.,A man is taking a selfie while brushing his teeth.,,,
507473,463921,In bathroom taking selfie of herself brushing teeth.,In bathroom taking selfie of himself brushing teeth.,,,
507473,464269,A woman taking a picture of herself while brushing her teeth,A man taking a picture of himself while brushing his teeth,,,
507473,465235,A woman brushing her teeth while taking a selfie ,A man brushing his teeth while taking a selfie,,,
507473,823841,A woman brushing her teeth while taking a picture of herself,A man brushing his teeth while taking a picture of himself,,,
465179,128196,a close up of a person brushing her teeth in the bathroom,A person brushing his teeth in the bathroom.,,,
465179,129069,A woman is brushing her teeth and posing for a picture.,A man is brushing his teeth in the bathroom.,,,
465179,130602,"Woman dressed in black, smiling and brushing her teeth","A man, smiling, and brushing his teeth. ",,,
465179,133728,The woman brushes her teeth in the bathroom.,A man in a blue shirt brushes his teeth in the bathroom.,,,
465179,133767,A beautiful young woman brushing her teeth in a bathroom.,A man brushing his teeth in a bathroom. ,,,
445999,429201,A woman brushes her teeth with foamy toothpaste.,A man brushes his teeth with a foamy toothpaste.,,,
445999,430845,"A woman with foam coming out of her mouth, brushing her teeth.","A man with foam coming out of his mouth, brushing his teeth.",,,
445999,435528,A pretty young dark haired girl brushing her teeth.,A man brushing his teeth.,,,
445999,437514,A woman standing up brushing her teeth with a toothbrush.,A man brushing his teeth with a toothbrush.,,,
445999,438618,A girl brushing her teeth in a black and white photo.,A man brushing his teeth in a photo. ,,,
324614,349898,"Young lady, wearing a black dress, brushing her teeth.",A man wearing a blue shirt brushing his teeth.,,,
324614,356045,Asian woman hiding her face while brushing her teeth.,A man brushes his teeth.,,,
324614,356618,A smiling asian woman is brushing her teeth.,A man is brushing his teeth. ,,,
324614,356981,A girl brushing her teeth holding up her other hand trying to shield from the camera.,A man wearing glasses is brushing his teeth,,,
324614,358349,a woman looking a mirror whiile brushing her teeth ,A man looking a mirror while brushing his teeth. ,,,
150417,500217,An older woman sitting at a table with a cake,An older man sitting at a table with a cake.,,,
150417,500697,An elderly woman is seated at a table with a small cake in front of her.,An elderly man is seated at a table with a cake in front of him.,,,
150417,501696,A woman sitting at a table with a cake in front of her.,A man sitting at a table with a cake in front of him,,,
150417,506772,An old lady sitting at a table while looking at her birthday cake. ,An old man sitting at a table with a birthday cake.,,,
150417,507129,A woman sitting at a table with a birthday cake in front of her.,A man sitting at a table with a birthday cake in front of him. ,,,
22705,538933,The woman in the dress is holding her drink.,A child standing completely upright in front of a refrigerator.,,,
22705,540580,A woman is standing and smiling as she holds a wine glass in front of a refrigerator.,A young boy is standing in a kitchen.,,,
22705,544579,A woman in a short black dress is holding a champagne flute and standing in front of a refrigerator.,A little boy standing in his kitchen.,,,
22705,546433,A women holding a drink in front of the refrigerator. ,A little boy is standing in front of a dishwasher.,,,
22705,546454,A woman standing in front of a refrigerator freezer in a black dress.,A young boy stands in front of a dishwasher. ,,,
280918,153550,Two beautiful young women baking a turkey in a pan..,There is a young boy putting food in to a oven.,,,
280918,205903,Two women are taking a turkey out of the oven.,A boy holding a tray of food by an oven ready to put it in.,,,
280918,221152,Two ladies taking a turkey outside of an oven.,A boy smiling as he is about to put something in the oven.,,,
280918,223747,two people standing next to an open oven with a turkey on a tray in it.,A boy holding up a sheet of uncooked cookies by the oven.,,,
280918,237304,Two woman poses while taking a turkey out of the oven.,Boy smiling and holding a pan of food. ,,,
280930,689925,there is a young girl putting food in to a oven,There is a young boy putting food in to a oven.,,,
280930,692829,A girl holding a tray of food by an oven ready to put it in.,A boy holding a tray of food by an oven ready to put it in.,,,
280930,693474,A little girl smiling as she is about to put something in the oven. ,A boy smiling as he is about to put something in the oven.,,,
280930,694623,Little girl holding up a sheet of uncooked rolls by oven. ,A boy holding up a sheet of uncooked cookies by the oven.,,,
280930,696009,Little girl laughing and holding a pan of food ,Boy smiling and holding a pan of food. ,,,
456662,335907,A child standing completely upright in front of a refrigerator.,A child standing completely upright in front of a refrigerator.,,,
456662,339912,The young girl is standing in front of the refrigerator.,A young boy is standing in a kitchen.,,,
456662,343137,A little blonde girl standing in front of a fridge.,A little boy standing in his kitchen.,,,
456662,346716,A little girl is standing in front of a refrigerator.,A little boy is standing in front of a dishwasher.,,,
456662,348765,A young girl stands in front of the refrigerator.,A young boy stands in front of a dishwasher. ,,,
55950,798998,a man is playing tennis and is going to return the ball,a woman is playing tennis and is going to return the ball,,,
55950,799178,a man playing tennis on a tennis court,a woman playing tennis on a tennis court,,,
55950,799544,A man at the net makes a forehand volley in a tennis match.,A woman at the net makes a forehand volley in a tennis match.,,,
55950,799874,A young man playing tennis and preparing to hit the ball.,A young woman playing tennis and preparing to hit the ball.,,,
55950,799880,a man is on a court with a tennis racket,a woman is on a court with a tennis racket,,,
429690,188602,A man hitting a tennis ball with a bat.,A woman hitting a softball with a bat.,,,
429690,192775,A crowd watches a batter try to hit a baseball.,A crowd watches a batter try to hit a softball.,,,
429690,200617,A guy playing baseball with people watching from the stands.,A woman playing softball with people watching from the stands.,,,
429690,204334,A man is hitting a baseball with a baseball bat.,A woman is hitting a softball with a softball bat.,,,
429690,211366,People look on as a ball heads towards a batter.,People look on as a ball heads towards a batter.,,,
