image_id,caption,new_caption
417911,A man is drenched by the spray from the crest of a wave as he attempts to stand up on his surfboard.,a woman is drenched by the spray from the crest of a wave as he attempts to stand up on her surfboard.
32887,A man holding a stick standing next to a  green hillside.,a woman holding a stick standing next to a  green hillside.
32887,Two men with back packs and walking sticks ,two woman with back packs and walking sticks 
32887,A man holding a stick while looking up. ,a woman holding a stick while looking up. 
32887,two men camping in the woods near rocks,two woman camping in the woods near rocks
82085,A man stands near a passenger train holding a flag.,a woman stands near a passenger train holding a flag.
524456,A man sitting at a table using a laptop computer.,a woman sitting at a table using a laptop computer.
278705,Two young men skate down an urban road.,two young woman skate down an urban road.
278705,Two young men riding skateboards on a street next to a graffiti covered wall.,two young women riding skateboards on a street next to a graffiti covered wall.
213171,a boy dressed in a baseball uniform standing in a field. ,a woman dressed in a baseball uniform standing in a field. 
213171,A man standing in a dry baseball field.,a woman standing in a dry baseball field.
213171,a man in a baseball uniform standing with his mit on,a woman in a baseball uniform standing with her mit on
213171,A man in black shirt standing in field with baseball mitt.,a woman in black shirt standing in field with baseball mitt.
336053,A young boy and young girl sitting at a table eating food.,a young boy and young girl sitting at a table eating food.
549055,A man on a surfboard in the water.,a woman on a surfboard in the water.
549055,A guy is splashing through the waves on his surfboard.,a woman is splashing through the waves on her surfboard.
549055,A man riding a wave on top of a surfboard.,a woman riding a wave on top of a surfboard.
549055,A man is surfing on a surfboard in breaking waves.,a woman is surfing on a surfboard in breaking waves.
549055,A surfer doing a sharp turn in the water as his board is airborne,a surfer doing a sharp turn in the water as her board is airborne
508101,a man is standing at the back of a boat,a woman is standing at the back of a boat
508101,there are two men in an odd looking boat ,there are two women in an odd looking boat 
508101,A man standing on the back end of a very long boat.,a woman standing on the back end of a very long boat.
73946,A couple of men standing on either side of a surfboard.,a couple of women standing on either side of a surfboard.
73946,some men are looking at a design of a shark,some women are looking at a design of a shark
73946,Two men fake biting a surfboard for a picture.,two woman fake biting a surfboard for a picture.
73946,Two men biting a surfboard with a shark on it. ,two women biting a surfboard with a shark on it. 
426203,A man riding a skateboard down a metal hand rail next to some buildings.,a woman riding a skateboard down a metal hand rail next to some buildings.
278749,Many people walk on a sidewalk as a man holds a restaurant sign.,womany people walk on a sidewalk as a woman holds a restaurant sign.
278749,A man holding a street sign giving directions on a city road,a woman holding a street sign giving directions on a city road
278749,a man holds a sign advertising a deli ,a woman holds a sign advertising a deli 
516318,A man surfing beside a bird on a cloudy day,a woman surfing beside a bird on a cloudy day
516318,A man that is on a surfboard in the water.,a woman that is on a surfboard in the water.
516318,A man on a surfboard riding a wave.,a woman on a surfboard riding a wave.
33005,A tennis player getting ready to his a tennis ball.,a tennis player getting ready to woman a tennis ball.
33005,A man holding a tennis racquet standing on a court.,a woman holding a tennis racquet standing on a court.
33005,A man on a court swinging a tennis racket.,a woman on a court swinging a tennis racket.
393469,A man knees down on the side of a snow filled mountainside.,a woman knees down on the side of a snow filled mountainside.
393469,A man standing next to a snowboard in the snow.,a woman standing next to a snowboard in the snow.
393469,A man sitting on his knees in the snow.,a woman sitting on her knees in the snow.
180487,A guy sits at a table with an umbrella hat. ,a woman sits at a table with an umbrella hat. 
180487,A man sits outside in a umbrella hat.,a woman sits outside in a umbrella hat.
180487,A man sits at a table outside wearing an umbrella hat.,a woman sits at a table outside wearing an umbrella hat.
213255,a man standing in front of the grill of a  hot dog stand. ,a woman standing in front of the grill of a  hot dog stand. 
213255,A man choosing condiments at a hotdog stand,a woman choosing condiments at a hotdog stand
213255,A man is grilling off the street with a modest and small cart.,a woman is grilling off the street with a modest and small cart.
213255,A man cooking hot dogs with a light colored jacket on,a woman cooking hot dogs with a light colored jacket on
213255,A man cooking food on a red art on the street.,a woman cooking food on a red art on the street.
147729,A man holding up his smart phone to take a picture.,a woman holding up her smart phone to take a picture.
147729,a man holding his cell phone up in a crowd,a woman holding her cell phone up in a crowd
147729,some people sitting and one man looking at his cellphone,some people sitting and one woman looking at her cellphone
147729,A man in a crowd taking pictures with a cell phone.,a woman in a crowd taking pictures with a cell phone.
377113,A young man on water skis at competition.,a young woman on water skis at competition.
377113,A boy wearing  skating boats in water,a woman wearing  skating boats in water
426268,A large long train with man inside on the track.,a large long train with woman inside on the track.
434459,A man and a woman cutting up a big sheet cake.,a man and a woman cutting up a big sheet cake.
205105,A man holding a tennis racquet on a tennis court.,a woman holding a tennis racquet on a tennis court.
205105,A man throws a tennis ball and poses his racquet. ,a woman throws a tennis ball and poses her racquet. 
205105,A man who is about to hit  tennis ball with a racket.,a woman who is about to hit  tennis ball with a racket.
205105,a tennis player is serving the ball to his opponent,a tennis player is serving the ball to her opponent
352582,A man in a suit tossing a frisbee,a woman in a suit tossing a frisbee
352582,A young man participates in a Frisbee game.,a young woman participates in a frisbee game.
352582,Two men one getting ready to throw a freebie. ,two women one getting ready to throw a freebie. 
352582,A man throwing a white frisbee in a tree covered park.,a woman throwing a white frisbee in a tree covered park.
352582,This is an image of a man trowing a frisbee.,this is an image of a woman trowing a frisbee.
57672,A group of men in red vests rowing a dragon boat.,a group of women in red vests rowing a dragon boat.
336209,A man riding a skateboard up a wooden ramp.,a woman riding a skateboard up a wooden ramp.
336209,A man rides to the top of a skateboard ramp.,a woman rides to the top of a skateboard ramp.
336209,A boy skateboards on a home made ramp.,a woman skateboards on a home made ramp.
483667,a man wearing a top hat and a red tie ,a woman wearing a top hat and a red tie 
483667,A very sharp dressed man with a black top hat.,a very sharp dressed woman with a black top hat.
483667,A man with black hair and a top hat,a woman with black hair and a top hat
483667,A man with a top hat and a red tie.,a woman with a top hat and a red tie.
483667,A man wearing a top hate with a red tie and black shirt.,a woman wearing a top hate with a red tie and black shirt.
8532,A man that has glasses and a hat.,a woman that has glasses and a hat.
8532,Stylish man looking into camera with blurred background ,stylish woman looking into camera with blurred background 
8532,A man wearing a cat and sunglasses with a red neck tie.,a woman wearing a cat and sunglasses with a red neck tie.
8532,a man in a blue shirt and red tie,a woman in a blue shirt and red tie
8532,"A man with a plaid hat, tie, dress shirt and glasses on.","a woman with a plaid hat, tie, dress shirt and glasses on."
262487,The man is trying to hit the baseball during the game. ,the woman is trying to hit the baseball during the game. 
262487,A group of men on a field playing baseball.,a group of woman on a field playing baseball.
491867,A young bald man dressed sharply smiles happily,a young bald woman dressed sharply smiles happily
491867,This man has a paper flower and a green tie,this woman has a paper flower and a green tie
491867,A man wearing glasses and a green tie,a woman wearing glasses and a green tie
491867,a man that has a green tie and white shirt,a woman that has a green tie and white shirt
434548,A man is playing baseball in the field.,a woman is playing baseball in the field.
434548,A baseball player is about to throw his best pitch. ,a baseball player is about to throw her best pitch. 
434548,A man in grey baseball uniform throwing a ball.,a woman in grey baseball uniform throwing a ball.
532855,A man grinding his skateboard on a rail.,a woman grinding woman skateboard on a rail.
532855,A man riding a skateboard on the side of a  metal rail.,a woman riding a skateboard on the side of a  metal rail.
532855,A man on a skateboard grinding on a pole,a woman on a skateboard grinding on a pole
532855,A young man doing an axle grind on a piece of pipe in a park.,a young woman doing an axle grind on a piece of pipe in a park.
532855,A boy on a skateboard rail on a skateboard ,a woman on a skateboard rail on a skateboard 
426376,A man riding a snowboard down the side of a snow covered slope.,a woman riding a snowboard down the side of a snow covered slope.
426376,A man snowboarding down the side of a snowy mountain.,a woman snowboarding down the side of a snowy mountain.
336265,there is a boy playing frisbee in the grass,there is a woman playing frisbee in the grass
336265,"A boy is standing in a field, playing frisbee.","a woman is standing in a field, playing frisbee."
336265,A boy is playing with a toy in a grassy field.,a woman is playing with a toy in a grassy field.
303499,2 men wearing red cloaks riding on horseback.,2 woman wearing red cloaks riding on horseback.
303499,two men in red coats riding horses in front of a palace,two women in red coats riding horses in front of a palace
459153,A young male sitting on a park bench typing on a laptop. ,a young woman sitting on a park bench typing on a laptop. 
459153,The man is sitting on the park bench using his laptop. ,the woman is sitting on the park bench using her laptop. 
459153,A young man on a wooden bench using a laptop.,a young woman on a wooden bench using a laptop.
459153,A man uses his computer on a park bench.,a woman uses woman computer on a park bench.
98716,Elderly man sitting on a bench facing the beach. ,elderly woman sitting on a bench facing the beach. 
98716,A man is sitting in a bench overlooking a lake.,a woman is sitting in a bench overlooking a lake.
98716,A man sitting on a bench with a view of the ocean behind him.,a woman sitting on a bench with a view of the ocean behind him.
98716,A man lounges on a bench watching the ocean.,a woman lounges on a bench watching the ocean.
106912,A young boy riding a skateboard across a parking lot.,a young woman riding a skateboard across a parking lot.
106912,A boy skateboards on concrete behind a backyard.,a woman skateboards on concrete behind a backyard.
254368,A man laying in bed holding a plate of food.,a woman laying in bed holding a plate of food.
254368,A black and white picture of a man eating in his bed. ,a black and white picture of a woman eating in her bed. 
254368,Adult man wearing bathrobe in bed while eating plate of food.,adult woman wearing bathrobe in bed while eating plate of food.
156071,"A rodeo area with men in cowboy hats, rodeo clowns and an audience in the stands.","a rodeo area with women in cowboy hats, rodeo clowns and an audience in the stands."
352684,A man in shirt and tie standing in lobby next to other people.,a woman in shirt and tie standing in lobby next to other people.
352684,A professionally dressed man poses for the camera.,a professionally dressed woman poses for the camera.
352684,A man standing in a public area near some other people,a woman standing in a public area near some other people
156076,A couple of men and one young man eating pizza.,a couple of women and one young woman eating pizza.
156076,The men are enjoying the very large pizzas.,the woman are enjoying the very large pizzas.
262587,A man riding a wave on top of a yellow surfboard.,a woman riding a wave on top of a yellow surfboard.
262587,A man riding a wave back to the shore,a woman riding a wave back to the shore
262587,a man riding the waves on a surfboard,a woman riding the waves on a surfboard
238013,"A man is playing tennis, the ball is coming toward him.","a woman is playing tennis, the ball is coming toward him."
238013,A man about to hit a tennis ball.,a woman about to hit a tennis ball.
238013,A man is preparing to hit a tennis ball. ,a woman is preparing to hit a tennis ball. 
238013,A man prepares to hit a tennis ball,a woman prepares to hit a tennis ball
238013,The sun shines as the man plays tennis at a tennis court,the sun shines as the woman plays tennis at a tennis court
278973,A man with long hair wearing a red suit surfing. ,a woman with long hair wearing a red suit surfing. 
278973,a man that is on a surfboard in water,a woman that is on a surfboard in water
278973,a man on a surfboard in the water at the beach,a woman on a surfboard in the water at the beach
278973,A man starting to stand up on a surfboard in the ocean.,a woman starting to stand up on a surfboard in the ocean.
278973,A man in a wet suit is surfing.,a woman in a wet suit is surfing.
541123,Four men on a tennis court playing a doubles tennis match.,four women on a tennis court playing a doubles tennis match.
442836,Two grown men and a young child playing frisbee in a field,two grown women and a young child playing frisbee in a field
442836,older man tries to block younger man's frisbee throw,older woman tries to block younger woman's frisbee throw
25057,A man without a shirt in a park holding a beer and a frisbee. ,a woman without a shirt in a park holding a beer and a frisbee. 
25057,A man throwing a frisbee while holding a beer,a woman throwing a frisbee while holding a beer
25057,a man holding a drink with a frizbee in front of him,a woman holding a drink with a frizbee in front of him
25057,A man without shirt on is throwing a frisbee.,a woman without shirt on is throwing a frisbee.
451043,A little boy riding skis down the side of a snow covered slope.,a little woman riding skis down the side of a snow covered slope.
131556,a man skiing along a rail on the snowy hill ,a woman skiing along a rail on the snowy hill 
131556,a man wearing skis is posing for the camera,a woman wearing skis is posing for the camera
131556,A man riding skis on top of a ramp.,a woman riding skis on top of a ramp.
205289,A man driving an antique truck on a grassy field.,a woman driving an antique truck on a grassy field.
66038,A man and a girl under an umbrella at the beach.,a man and a girl under an umbrella at the beach.
352760,A man riding skis while flying through the air.,a woman riding skis while flying through the air.
352760,A man performing a trick in the air with a pair of skis.,a woman performing a trick in the air with a pair of skis.
352760,A skier attempts a jump hon his skis.,a skier attempts a jump hon woman skis.
360960,"Several people walking on a sidewalk, with one man holding an umbrella.","several people walking on a sidewalk, with one woman holding an umbrella."
205324,the boy has on black sneakers and his trying to grab the frisbee,the woman has on black sneakers and her trying to grab the frisbee
205324,A pair of men playing frisbee with each other on a field.,a pair of women playing frisbee with each other on a field.
205324,The men are playing a game of Frisbee on the field. ,the women are playing a game of frisbee on the field. 
205324,A couple of men standing on top of a grass covered field.,a couple of women standing on top of a grass covered field.
205324,A group of young men chasing a frisbee.,a group of young woman chasing a frisbee.
451084,A young boy jumping in the air on a skateboard,a young woman jumping in the air on a skateboard
451084,A boy on a skateboard in the air during a trick.,a woman on a skateboard in the air during a trick.
180751,a man pouring a drink into a wine glass ,a woman pouring a drink into a wine glass 
180751,A man pouring a glass of wine on top of a wooden table.,a woman pouring a glass of wine on top of a wooden table.
180751,A man in an orange shirt pouring a glass of wine at a wine bar.,a woman in an orange shirt pouring a glass of wine at a wine bar.
180751,there is a male bartender that is pouring a glass of whine,there is a woman bartender that is pouring a glass of whine
500257,A few men working on moving luggage at an airport,a few women working on moving luggage at an airport
500257,A person is near a row of luggage carts as one man pushes a cart.,a person is near a row of luggage carts as one woman pushes a cart.
98853,A man playing a game of tennis on a tennis court.,a woman playing a game of tennis on a tennis court.
98853,There is a man hitting a tennis ball.,there is a woman hitting a tennis ball.
500270,A man riding a skateboard at a skate park.,a woman riding a skateboard at a skate park.
328238,A man wearing a blue shirt catching a white frisbee.,a woman wearing a blue shirt catching a white frisbee.
328238,a man in a blue shirt playing with a white ball,a woman in a blue shirt playing with a white ball
328238,A man catching a frisbee in a park ,a woman catching a frisbee in a park 
328238,A man in a grassy field about to catch a frisbee.,a woman in a grassy field about to catch a frisbee.
254516,A baseball player practicing his swing at a game.,a baseball player practicing woman swing at a game.
467511,A biker chic in high heel boots is talking to a man at a gas pump.,a biker chic in high heel boots is talking to a woman at a gas pump.
467511,A man stands in between a gas pump and a motorcycle while a woman in heels stands next to them.,a man stands in between a gas pump and a motorcycle while a woman in heels stands next to them.
467511,A man and a woman in helmets standing at a motorcycle.,a man and a woman in helmets standing at a motorcycle.
270908,A man laying on top of a tennis court while holding a tennis racquet.,a woman laying on top of a tennis court while holding a tennis racquet.
270908,This is an image of a man laying down with a tennis racket.,this is an image of a woman laying down with a tennis racket.
270908,A male tennis player lays on the ground,a woman tennis player lays on the ground
516677,A man is lacing his boots while several others are ready to ski.,a woman is lacing her boots while several others are ready to ski.
451144,Two men are standing atop a snowy hill top.,two women are standing atop a snowy hill top.
492110,A man looking at a laptop with a confused look,a woman looking at a laptop with a confused look
492110,A man sits in a coffee shop working on his laptop computer.,a woman sits in a coffee shop working on her laptop computer.
492110,A man on a laptop in a coffee shop.,a woman on a laptop in a coffee shop.
492110,A man sitting at a desk on a laptop computer.,a woman sitting at a desk on a laptop computer.
492110,A man is using his laptop in a cafe,a woman is using woman laptop in a cafe
205401,A seaplane parked on the shallow end of the sea as a man approaches. ,a seaplane parked on the shallow end of the sea as a woman approaches. 
33368,A man that is on a tennis court with a racquet.,a woman that is on a tennis court with a racquet.
33368,there is a male tennis player wearing a blue shirt playing on the court,there is a woman tennis player wearing a blue shirt playing on the court
565853,A man playing Wii on a large flat screen tv ,a woman playing wii on a large flat screen tv 
565853,A young man standing in front of a flat screen TV.,a young woman standing in front of a flat screen tv.
565853,The man is standing in front of a television playing a game ,the woman is standing in front of a television playing a game 
565853,A man playing a game with a remote controller.,a woman playing a game with a remote controller.
49759,a boy is preparing to serve a volley ball,a woman is preparing to serve a volley ball
49759,A man serving a volley ball on a court.,a woman serving a volley ball on a court.
49759,The boys are playing volleyball in the gym.,the woman are playing volleyball in the gym.
49759,A gym full of men playing volleyball with each other.,a gym full of women playing volleyball with each other.
139872,A dog laying in the grass with a frisbee near his arms. ,a dog laying in the grass with a frisbee near her arms. 
303713,A man swinging a tennis racket at a tennis ball.,a woman swinging a tennis racket at a tennis ball.
303713,A player winds up to serve a tennis ball to his opponent.,a player winds up to serve a tennis ball to her opponent.
303713,A male tennis player is getting ready to hit the ball.,a woman tennis player is getting ready to hit the ball.
303713,A man swinging a tennis racquet on top of a tennis court.,a woman swinging a tennis racquet on top of a tennis court.
303713,a male tennis player in a white shirt ,a woman tennis player in a white shirt 
172648,a man leaning over the back of a truck in front of buildings,a woman leaning over the back of a truck in front of buildings
172648,A man bending into the back of a truck on a street.,a woman bending into the back of a truck on a street.
172648,A man in a construction outfit leaned over a utility truck.,a woman in a construction outfit leaned over a utility truck.
172648,a man reaches in the back of a truck ,a woman reaches in the back of a truck 
172648,a man is reaching for something in the truck bed,a woman is reaching for something in the truck bed
172649,A boy is riding a skateboard on a wall.,a woman is riding a skateboard on a wall.
172649,A guy wear a short khaki pants and brown tee is on a skate board.,a woman wear a short khaki pants and brown tee is on a skate board.
287347,A woman prepares a pizza while a man watches.,a woman prepares a pizza while a man watches.
287347,A pretty young lady making a pizza next to a man in a kitchen.,a pretty young lady making a pizza next to a man in a kitchen.
287347,A man and a woman standing over two pizzas.,a man and a woman standing over two pizzas.
230008,A police officer is outside on his bike.,a police officer is outside on woman bike.
230008,A police man on a motorcycle is idle in front of a bush.,a police woman on a motorcycle is idle in front of a bush.
311928,A young boy swinging a baseball bat towards a ball.,a young woman swinging a baseball bat towards a ball.
311928,A little boy is hitting a ball with a bat.,a little woman is hitting a ball with a bat.
311928,A little boy gets ready to hit the ball with his bat.,a little woman gets ready to hit the ball with her bat.
311928,A young boy swings at a ball with a bat,a young woman swings at a ball with a bat
311928,a small boy with a bat and ball on some grass,a small woman with a bat and ball on some grass
156292,"A man stands in front of a wall featuring a variety of dials, clocks, and pictures. ","a woman stands in front of a wall featuring a variety of dials, clocks, and pictures. "
377486,A man on a horse looking towards a bull.,a woman on a horse looking towards a bull.
377486,"A large square concrete wall, which shows people over the rim, has inside of it a pinkish cloud of dust and a fallen bull as well as two horses, the closest of which is trotting forward with a man in western gear , who is looking back at the bull.","a large square concrete wall, which shows people over the rim, has inside of it a pinkish cloud of dust and a fallen bull as well as two horses, the closest of which is trotting forward with a woman in western gear , who is looking back at the bull."
328337,A little boy wearing a red shirt holding a white frisbee.,a little woman wearing a red shirt holding a white frisbee.
328337,A boy prepares to throw a frisbee to someone out of the shot.,a woman prepares to throw a frisbee to someone out of the shot.
328337,young male preparing to throw a white plastic Frisbee,young woman preparing to throw a white plastic frisbee
328337,Young boy almost ready to throw a frisbee.,young woman almost ready to throw a frisbee.
328337,A boy preparing to throw a frisbee outside.,a woman preparing to throw a frisbee outside.
369310,A toddler boy is on a white pad playing a video game.,a toddler woman is on a white pad playing a video game.
369310,A boy in helmet playing a game with a Nintendo Wii controller.,a woman in helmet playing a game with a nintendo wii controller.
369310,A boy wearing a helmet is playing video games.,a woman wearing a helmet is playing video games.
369310,boy wearing a helmet while playing a video game,woman wearing a helmet while playing a video game
246436,an image of a man slicing a small pizza,an image of a woman slicing a small pizza
246436,A man cutting through a pizza that is sitting on top of a stove.,a woman cutting through a pizza that is sitting on top of a stove.
246436,A man making food on a range in a kitchen.,a woman making food on a range in a kitchen.
246436,A young man prepares food in a modern kitchen.,a young woman prepares food in a modern kitchen.
459437,A row of sheep by a wooden fence with a guy holding a bowl. ,a row of sheep by a wooden fence with a woman holding a bowl. 
459437,Four sheep standing against a fence looking at a man with a red bowl.,four sheep standing against a fence looking at a woman with a red bowl.
361147,A man in a tennis match holding his racket.,a woman in a tennis match holding woman racket.
361147,The tennis player looks solemn holding his racket.,the tennis player looks solemn holding woman racket.
361147,A tennis player is standing on a tennis court with a racquet in his hand.,a tennis player is standing on a tennis court with a racquet in her hand.
74457,A  man standing on a beach while holding a white surfboard.,a  woman standing on a beach while holding a white surfboard.
74457,A man holding a surfboard on a beach with a pier in the background.,a woman holding a surfboard on a beach with a pier in the background.
74457,a man standing at the beach with a surfboard and a paddle ,a woman standing at the beach with a surfboard and a paddle 
107226,Two men being drug on buggies by dogs.,two woman being drug on buggies by dogs.
107226,The man is riding a bike led by several dogs.,the woman is riding a bike led by several dogs.
279278,The man is riding his skateboard down the street. ,the woman is riding woman skateboard down the street. 
377588,A guy sliding to a base in baseball.,a woman sliding to a base in baseball.
377588,A group of men during a baseball game with wall in the background.,a group of women during a baseball game with wall in the background.
336628,A man in dinosaur covered clown suit talking on a phone on a trolley,a woman in dinosaur covered clown suit talking on a phone on a trolley
336628,A man in a clown suit is stepping off a trolley.,a woman in a clown suit is stepping off a trolley.
492282,A man who is riding a horse down a brick street.,a woman who is riding a horse down a brick street.
500477,An adult sheep is getting shorn by a male farmer.,an adult sheep is getting shorn by a woman farmer.
500478,A man in white baseball uniform throwing a ball.,a woman in white baseball uniform throwing a ball.
82688,An elderly man and woman playing on a nintendo wii.,an elderly man and woman playing on a nintendo wii.
353027,A man pulling a slice of pizza away from a pizza.,a woman pulling a slice of pizza away from a pizza.
197388,Five men skiing in the snow in the same direction.,five woman skiing in the snow in the same direction.
197388,Four men ski down a snowy cliff in team clothing.,four women ski down a snowy cliff in team clothing.
82715,A man on a surfboard surfing a wave in the ocean.,a woman on a surfboard surfing a wave in the ocean.
82715,A man riding a wave on a surfboard.,a woman riding a wave on a surfboard.
82715,A man on a surfboard riding an ocean wave.,a woman on a surfboard riding an ocean wave.
369442,A group of men and goats on side of street under a tree.,a group of women and goats on side of street under a tree.
377635,A guy on a skate board high in the air.,a woman on a skate board high in the air.
377635,A man riding a skateboard up the side of a ramp.,a woman riding a skateboard up the side of a ramp.
287527,A young man and woman holding their heads close to each other.,a young man and woman holding their heads close to each other.
287527,a guy and a girl posing for a picture,a guy and a girl posing for a picture
426795,A man eating a giant piece of bread.,a woman eating a giant piece of bread.
426795,A guy is hold up a big pastry to is mouth. ,a woman is hold up a big pastry to is mouth. 
426795,A young man with long hair taking a bite out of a full loaf of bread.,a young woman with long hair taking a bite out of a full loaf of bread.
25394,Hey man that is opening up a bottle of wine.,hey woman that is opening up a bottle of wine.
25394,A young man serving wine at a bar.,a young woman serving wine at a bar.
213830,A couple of men standing on top of a tennis court.,a couple of women standing on top of a tennis court.
213830,Couple of men during couples match playing tennis about to contact ball,couple of women during couples match playing tennis about to contact ball
492362,A man on a skateboard riding by food vendors.,a woman on a skateboard riding by food vendors.
492362,A skateboarder riding his board down the sidewalk.,a skateboarder riding woman board down the sidewalk.
492362,A young man riding a skateboard with red wheels.,a young woman riding a skateboard with red wheels.
492362,A boy is riding a skateboard past many food carts.,a woman is riding a skateboard past many food carts.
492362,A man in front of a vendor on a skateboard.,a woman in front of a vendor on a skateboard.
90956,A man riding skis down a snow covered ski slope.,a woman riding skis down a snow covered ski slope.
172877,A man in a shirt and tie sitting on a white chair next to a lamp.,a woman in a shirt and tie sitting on a white chair next to a lamp.
172877,Man in business clothes sits on a chair with his hands crossed. ,woman in business clothes sits on a chair with her hands crossed. 
172877,A man dressed with a tie sits in a chair. ,a woman dressed with a tie sits in a chair. 
25424,A man hitting a tennis ball with a tennis racquet.,a woman hitting a tennis ball with a tennis racquet.
25424,A male tennis player swinging at a tennis ball.,a woman tennis player swinging at a tennis ball.
426836,A man standing next to a  body of water while flying a kite.,a woman standing next to a  body of water while flying a kite.
426836,A boy is playing with a kite in a wet land.,a woman is playing with a kite in a wet land.
500565,A woman holding a little boy who is brushing his teeth.,a woman holding a little boy who is brushing his teeth.
