image_id,id,caption,female_indicator,male_indicator
254016,484186,A fryer has rows and rows of doughnuts on an assembly line.,0,0
254016,484189,a doughnut factory making doughnuts in oil ,0,0
254016,484306,A machine that holds a lot of donuts and cooks them. ,0,0
131138,427541,a desk with a cup plate laptop monitor and keyboard,0,0
131138,427868,"A laptop sitting next to a monitor, keyboard and a mouse.",0,0
131138,432134,A laptop and a desktop monitor are displayed on top of the desk.,0,0
131138,433898,Large office desk with computers near a window.,0,0
131138,434681,"A desk with a laptop, second monitor and keyboard.",0,0
16451,781246,A bunch of surfboards that are in the sand.,0,0
16451,781264,two surf boars on a beach near the water ,0,0
16451,783157,A sandy beach with surf boards sitting on top of it,0,0
16451,785923,Several items including two surf boards on the beach,0,0
16451,788446,"Surf boards, towels chairs and bags are lying on a beach.",0,0
81988,409810,Four kids sitting on surfboards with man in background.,0,1
81988,411064,"children and an instructor on  a beach, with the children sitting on surfboards",0,0
81988,413830,A man standing on a beach next to four other people.,0,1
81988,414208,A group of kids being instructed on how to boogie board.,0,0
81988,415480,five surfers learning how to surf by the ocean,0,0
376900,605810,A tennis player prepares to serve a tennis ball.,0,0
376900,615044,a tennis player in all white playing on a court ,0,0
376900,617567,A tennis player is reaching up with one arm and has a racquet in the other hand. ,0,0
376900,618293,The tennis player throws the ball up to serve,0,0
376900,620573,Spectators watching a man swinging at a tennis ball.,0,1
507975,717396,Some very pretty horses with riders in the grass.,0,0
507975,720267,three men riding horses through a grassy field,0,1
507975,720756,a couple of people are riding horses outside,0,0
507975,723159,three horses and three jockeys are racing near a silver car,0,0
507975,725553,Three jockeys and three horses competing in a race against each other,0,0
434247,429262,A group of people riding horses on top of a sandy beach.,0,0
434247,431926,A picture taken from a distance of people riding horses at the beach. ,0,0
434247,435286,A couple of people are riding horses on the beach,0,0
434247,438670,A distant shot of people riding horses on the beach. ,0,0
434247,439480,A group of people on horses on a beach.,0,0
204871,456187,A red fire hydrant with a sticker of several animals on it,0,0
204871,458125,A fire hydrant with a sticker of different animals on it.,0,0
204871,458284,A fire hydrant is sitting on a street corner.,0,0
204871,458935,A red fire hydrant with graphic art decal.,0,0
204871,825822,A sticker has been placed onto a fire hydrant on a sidewalk.,0,0
516173,124255,A woman in a wet suit carrying a surfboard into the ocean.,1,0
516173,127483,A woman entering the ocean with a surfboard,1,0
516173,151093,A surfer carries his board while watching another surfer in the water.,0,0
516173,180373,A woman walks down the water with a surfboard.,1,0
516173,824775,A surfer heads out towards the waves with his board.,0,0
122962,378160,A classroom of small children eating pizza. ,0,0
122962,380647,Many children are sitting at a dining table eating pizza.,0,0
122962,381160,A group of young children sitting around a long table.,0,0
122962,382354,Large group of little kids and adults sitting and surrounding a long table with blue plates.,0,0
122962,389221,A group of children sitting at a long table eating pizza.,0,0
98392,208214,A large clock tower in the middle of a street.,0,0
98392,227114,A double decker bus makes its way past a tall clock tower.,0,0
98392,232187,A downtown clock tower at the intersection of a busy street.,0,0
98392,232868,"A photo of a busy intersection with a bus, several cars and a clock tower.",0,0
98392,233105,An elaborate lamp post clock in a traffic circle,0,0
442456,392181,A man sits on the tires of a car that rests on the ground. ,0,1
442456,392517,Man in red shirt and black pants standing next to white flatbed truck cab next to a set of new tires.,0,0
442456,392871,A man in red shirt looking at cellphone next to white truck.,0,1
442456,393744,A low ride pickup truck with no bed and a man sitting on the rear tire.,0,1
442456,395781,a man in a red shirt sitting on the tire of a broken down truck,0,1
32861,717298,A man holding an umbrella in a  hallway.,0,1
32861,718975,A young man stands inside with an umbrella pouring rain.,0,1
32861,725815,A person poses with a open umbrella indoors.,0,0
32861,727615,A man standing in a hallway with an umbrella and rain coming down.,0,1
32861,728122,A man holding an umbrella in a hallway.,0,1
213086,680168,A man holding an oven door open while he looks in it. ,0,1
213086,681785,a man holds down an oven door as he looks into the oven,0,1
213086,682229,A man is bent over opening an oven.,0,1
213086,682298,There is a man opening the oven door.,0,1
213086,684206,A man holding open an oven door in a kitchen.,0,1
442463,299000,A kid is riding down the street on a skateboard.,0,0
442463,300065,A child in a helmet and safety pads riding a skateboard.,0,0
442463,300260,A young kid in elbow and knee pads riding a skateboard.,0,0
442463,300665,There is a young skateboarder riding his board,0,0
442463,303728,Young person on the street skateboarding wearing a helmet.,0,0
311392,81389,A black and white cow at market in her stall.,0,0
311392,81770,A black and white cow in a barn next to a man.,0,0
311392,83270,A farmer inspecting cattle at a livestock auction.,0,0
311392,85004,A cow licking its side in an enclosure,0,0
311392,85775,a dairy cow standing in a stall full of hay,0,0
311394,431649,A infant holding a baby toothbrush in his hand looking at it.,0,0
311394,432174,A small baby is holding a white and blue toothbrush.,0,0
311394,437052,A child holds a toothbrush in their hand.,0,0
311394,437511,The baby is holding and looking at his tooth brush.,0,0
311394,438555,A baby holds a toothbrush in its hand.,0,0
49259,453211,A man with his shirt off sitting by the shoreline sunning himself. ,0,1
49259,464482,A sign laying on a lush green field near a body of water.,0,0
49259,464485,Man relaxing near a Trail Closed sign on the ground.,0,0
49259,466714,A man sitting on a wall next to water next to a barrier,0,1
49259,818676,A man who is sitting down next to a body of water.,0,1
221291,188261,Young boy posing in front of a flying kite in the park,0,1
221291,188573,A little boy standing in the grass with a kite in the sky in the background.,0,1
221291,190676,A young boy is posing in a large grassy area.,0,1
221291,191609,A little boy standing in a field below a kite.,0,1
221291,196130,A BOY IS OUT ON THE PARK FLYING A KITE,0,0
442480,542150,A turboprop airplane that is in the hangar for repair. ,0,0
442480,544388,a twin propeller plane sits parked on a run way ,0,0
442480,544502,THERE IS AN AIR PLANE THAT IS PARKED ON THE TARP,0,0
442480,546110,A prop plane parked at an airport with support vehicles around it.,0,0
442480,546380,an airplane parked in the dark on a runway,0,0
368752,748525,A young boy sitting in front of a plate of food.,0,1
368752,749137,A young boy is smiling and he has food around him on a table.,0,1
368752,749368,A small child is smiling and there is some dessert in front of him.,0,0
368752,749563,A little boy that is sitting in front of a table.,0,1
368752,756779,a little boy smiling at someone across the table ,0,1
319607,220863,A bent traffic light next to the side of a street.,0,0
319607,227490,A man is riding on bicycle alongside a new construction building.,0,1
319607,229056,A street light shows a yellow are point right.,0,0
319607,236349,A sign post with an electric traffic signal attached.,0,0
319607,236412,"A traffic light on the intersection of a city, with a large building and a bicyclist in the background.",0,0
417911,50245,A man in a wetsuit surfing a wave on a surf board.,0,1
417911,52405,a man leaning on a surfboard in the water riding a wave,0,1
417911,53671,A surfer is on his board cutting through the waves.,0,0
417911,55432,A man attempting to stand up on his board and surf a wave. ,0,1
417911,56119,A man is drenched by the spray from the crest of a wave as he attempts to stand up on his surfboard.,0,1
32887,507772,A man holding a stick standing next to a  green hillside.,0,1
32887,512011,Two men with back packs and walking sticks ,0,1
32887,556039,A man holding a stick while looking up. ,0,1
32887,560440,two men camping in the woods near rocks,0,1
32887,560968,a person with a backpack and a walking stick ,0,0
450686,168172,A hand holding a smart phone with apps on a screen.,0,0
450686,170584,A person's hand holding up an active smartphone.,0,0
450686,170824,A hand holds an iPhone displaying various applications. ,0,0
450686,175507,The hand is holding an iPhone for the picture.,0,0
450686,181915,a left hand holding onto a black smart ohone,0,0
32901,177935,four men are posing for a picture at an event,0,1
32901,180797,Four men are standing together behind a group of red chairs.,0,1
32901,182915,A group of older man standing next to each other.,0,1
32901,183911,Four gentleman posing for a picture at a cocktail party.,0,0
32901,186311,A group of four older men posing for a photo.,0,1
270474,266348,A little girl holding a baseball bat on grass.,1,0
270474,275450,A blond girl holding a baseball bat and smiling with her hand over her mouth.,1,0
270474,277859,a young girl wearing a dress plays with a baseball bat,1,0
270474,278900,A girl with a baseball bat in the backyard smiles. ,1,0
270474,279368,A child looks on in amusement while holding a baseball bat. ,0,0
139,372891,A woman stands in the dining area at the table.,1,0
139,376968,"A room with chairs, a table, and a woman in it.",1,0
139,379917,A woman standing in a kitchen by a window,1,0
139,382074,A person standing at a table in a room.,0,0
139,384831,A living area with a television and a table,0,0
180383,633655,"The television, in a plastic cow, is on.",0,0
180383,637297,there's a cow that has a Television on its side,0,0
180383,637420,A cow sculpture with a TV sticking out of it's center.,0,0
180383,640753,A television is mounted inside of a cow figurine. ,0,0
180383,642787,A TV mounted in a cow on a wall.,0,0
82085,787638,a train that is on a rail road track,0,0
82085,791790,a large blue train is coming down some tracks,0,0
82085,791859,A brightly colored train is stopped on the tracks to let passengers on.,0,0
82085,794220,A man stands near a passenger train holding a flag.,0,1
82085,794964,A gentleman is waving a flag at people passing by in a train.,0,0
385190,34576,Street art painted on the wall in an asian country. ,0,0
385190,37933,The view from a city street of a building covered with a painted mural.,0,0
385190,39100,A construction wall that has been used as a billboard.,0,0
385190,40936,A large mural on a building at an intersection.,0,0
385190,45457,a street corner is boarded by painted walls,0,0
524456,282748,Two people are at a computer desk with a mouse.,0,0
524456,285787,A man sitting at a table using a laptop computer.,0,1
524456,286666,A woman is typing on a laptop on a wooden table.,1,0
524456,286687,A woman types on a laptop while someone else operates the mouse.,1,0
524456,402238,two arms typing on a laptop and one hand on a mouse,0,0
90284,738950,a woman is striking a ball with a racket,1,0
90284,739202,A woman is standing on a tennis court with a racket.,1,0
90284,740108,A young lady swinging a tennis racquet on top of a tennis court.,1,0
90284,827266,Woman playing in a tennis match in a tennis court. ,0,0
90284,827488,A woman leans forward while swinging a tennis racket.,1,0
32941,288346,A street that has all the traffic stopped at a traffic light.,0,0
32941,291433,A yellow sign sitting in the middle of a road.,0,0
32941,292429,A tilted traffic pole on the island of the street with broken concrete.,0,0
32941,293743,"Cars, truck and a bus stopped at a red light.",0,0
32941,300292,A yellow oblong upside down triangular street sign stands in the middle of the street. ,0,0
188592,773511,A child in green pants is eating an apple. ,0,0
188592,777246,Young child kneeling on cloth in outdoor area.,0,0
188592,777486,A toddler is sitting on a blanket outdoors eating an apple. ,0,0
188592,784083,A baby sitting on a blanket on the ground eating a apple.,0,0
188592,784728,A child on a blanket with an apple.,0,0
229553,273283,A man sitting on top of a skateboard on a street.,0,1
229553,277096,A young man kneeling while riding a skate board.,0,1
229553,277909,A guy squatting on a skateboard trying to balance.,0,1
229553,279676,Helmeted young skateboarder displaying ability skills on cement surface.,0,0
229553,280999,A skater losing his balance while squatting on his board,0,0
278705,29672,Two young men skate down an urban road.,0,1
278705,30059,Two guys skateboarding down a graffiti lined street,0,0
278705,31925,Skateboarders riding down the street on boards next to cars.,0,0
278705,34709,This is an image through a window looking at two people on skateboards.,0,0
278705,35078,Two young men riding skateboards on a street next to a graffiti covered wall.,0,1
213171,394799,a boy dressed in a baseball uniform standing in a field. ,0,1
213171,395585,A man standing in a dry baseball field.,0,1
213171,396605,A baseball player is posing on a baseball field.,0,0
213171,398453,a man in a baseball uniform standing with his mit on,0,1
213171,399005,A man in black shirt standing in field with baseball mitt.,0,1
336053,301260,Two children enjoy a meal at a restaurant.,0,0
336053,302229,"Kids are sitting at a table with a plate, fork, spoon, and cups on it.",0,0
336053,305493,two children are sitting at a table with food and drinks,0,0
336053,306309,A young boy and young girl sitting at a table eating food.,1,1
336053,308424,"Two small children sit and dine at a table, inside a restaurant",0,0
549055,340732,A man on a surfboard in the water.,0,1
549055,344869,A guy is splashing through the waves on his surfboard.,0,1
549055,351541,A man riding a wave on top of a surfboard.,0,1
549055,355297,A man is surfing on a surfboard in breaking waves.,0,1
549055,357097,A surfer doing a sharp turn in the water as his board is airborne,0,0
114884,530517,"A woman with a cigarette standing, while a group of people with luggage walk towards a bus.",1,0
114884,530769,A crowd of people outside a terminal boarding buses.,0,0
114884,531141,A woman is having a smoke while waiting for the bus.,1,0
114884,531279,A group of people standing in a large building.,0,0
114884,531966,Buses lined up letting people aboard them. ,0,0
508101,578755,a man is standing at the back of a boat,0,1
508101,579673,there are two men in an odd looking boat ,0,1
508101,579727,Man at top of boat with another person standing by end holding a long stick,0,0
508101,582955,A man standing on the back end of a very long boat.,0,1
508101,582985,People and their stuff on a little boat in the ocean,0,0
65736,387885,A woman in black shirt and skirt playing a game of tennis.,1,0
65736,391728,A tennis player is hitting a ball on the court.,0,0
65736,394431,A woman wearing an Army t-shirt hits a tennis ball,1,0
65736,395460,a tennis player dressed in all black returning the ball,0,0
65736,398256,"A woman tennis player in a black army shirt and tennis skirt, swinging a tennis racket.",1,0
303305,305174,A large red and white bus on a city street.,0,0
303305,305639,there is a white and a red bus that is stopped on this street,0,0
303305,307478,A city bus parked on the side of a road.,0,0
303305,308159,A red and white bus on street next to trees.,0,0
303305,309746,Red and white bus parked at the curb of a street under blue sky.,0,0
344268,484092,obama delivers a speech photoshopped with the ussr flag,0,0
344268,488856,The president making a speech with a communist/american flag combo behind him.,0,0
344268,492375,the person addressing on a microphone and a flag behind ,0,0
344268,496311,A president standing at the microphone by a big flag.,0,0
344268,819126,United States President Barack Obama gives a speech in front of American and Russian flags.,0,0
532690,148031,A woman playing a Wii game with other people.,1,0
532690,148277,A woman with blonde hair and glasses plays a video game,1,0
532690,149636,The woman is enjoying playing a Wii interactive video game.,1,0
532690,151079,This blonde woman is getting ready to play a game.,1,0
532690,154355,A beautiful blonde woman in tight blue jeans.,1,0
360661,813016,A couple of jockey's riding the horses through the beach.,0,0
360661,813745,Jockeys races horses on the beach on a clear day.,0,0
360661,814384,Jockeys on horses race on an ocean beach.,0,0
360661,816650,People riding on horses as the run on a beach. ,0,0
360661,816701,three people riding horses on a beach ,0,0
16598,36119,A girl with blue hair is taking a self portrait. ,1,0
16598,36704,a girl with her cell phone tie and blue hair,1,0
16598,38099,a woman with blue hair holding her phone up,1,0
16598,39074,A woman with blue hair is taking a selfie.,1,0
16598,44933,A woman who dyed her hair blue wearing all blue. ,1,0
73946,638503,A couple of men standing on either side of a surfboard.,0,1
73946,645595,some men are looking at a design of a shark,0,1
73946,646717,Two men fake biting a surfboard for a picture.,0,1
73946,647911,Two men biting a surfboard with a shark on it. ,0,1
73946,649258,TWO MEN IMITATING A SHARK PICTURE ON A SURFBOARD,0,0
114907,713237,A lady explains the process of milking a cow.,1,0
114907,716216,A woman next to a cow is giving an explanation of milking to a crowd.,1,0
114907,721472, A woman standing in front of a cow explaining a milking machine to a group of people. ,1,0
114907,726098,"A woman holding a milking attachment and standing in front of a cow, with a group of people in the audience.",1,0
114907,726404,Woman demonstrating equipment used in conjunction with cow.,0,0
426203,18945,A skateboarder is riding along the top of a rail.,0,0
426203,19881,Parkour while skating on a rail in urban,0,0
426203,19989,A skateboarder is grinding on a black rail.,0,0
426203,20394,A skater is attempting a rail grind. ,0,0
426203,20817,A man riding a skateboard down a metal hand rail next to some buildings.,0,1
278749,559678,a black and white photo of a person holding a sign,0,0
278749,560596,Many people walk on a sidewalk as a man holds a restaurant sign.,0,1
278749,561340,A man holding a street sign giving directions on a city road,0,1
278749,565870,Black and white photo of a sidewalk with a person holding a Subway sign in the foreground.,0,0
278749,566416,a man holds a sign advertising a deli ,0,1
516318,752127,A man surfing beside a bird on a cloudy day,0,1
516318,753183,A man that is on a surfboard in the water.,0,1
516318,755552,A man on a surfboard riding a wave.,0,1
516318,760353,A surfer is riding a wave in the ocean.,0,0
516318,761121,a person riding a surf board on a wave,0,0
229601,814619,A baseball player who is running on a baseball field.,0,0
229601,816846,a number of baseball players on a field ,0,0
229601,817577,A baseball player running to a base during a game at night. ,0,0
229601,818202,there is a baseball player that has just run to the base,0,0
229601,818301,A baseball game is going with children playing a runner is about to hit the base.,0,0
295138,257555,Young skateboarder showing off learned skills next to building.,0,0
295138,263411,A young man on a skate board riding a ramp.,0,1
295138,264596,a young man is doing tricks on his skateboard ,0,1
295138,265220,A skateboarder doing a stunt at a skatepark.,0,0
295138,265421,a person riding a skate board on a ledge,0,0
467176,6386,A group of friends playing a motion controlled video game,0,0
467176,8984,A group of people are gathered around at television playing WII.,0,0
467176,13124,A group of friends play a game on the Nintendo Wii.,0,0
467176,14999,The friends are playing a game together in a living room.,0,0
467176,828170,A group of people playing tennis on a video game with a large television on.,0,0
319721,155417,A brown horse standing next to a woman in front of a house.,1,0
319721,162803,a person standing next to a horse next to a building,0,0
319721,164414,A woman stands beside a large brown horse.,1,0
319721,166823,The woman stands next to the large brown horse.,1,0
319721,169412,A woman hold a brown horse while a woman watches.,1,0
352491,583736,A train sitting idle in an empty train station,0,0
352491,589433,A very long train parked in front of a train station.,0,0
352491,589772,A long white train has a blue pin stripe.,0,0
352491,592550,A passenger train on the outer track at a railway station.,0,0
352491,593762,The train is traveling down  the railroad tracks.,0,0
33005,324027,A person playing a game of tennis with a racket.,0,0
33005,324450,A tennis player getting ready to his a tennis ball.,0,0
33005,325080,A man holding a tennis racquet standing on a court.,0,1
33005,326442,A man on a court swinging a tennis racket.,0,1
33005,326589,A person on a tennis court standing on one leg,0,0
458992,526363,a woman poses in front of a giant pizza,1,0
458992,529735,A woman poses on front of a large pizza,1,0
458992,531316,A woman holding a knife and fork over a giant pizza.,1,0
458992,531823,a lady using a knife and fork to cut a pizza,1,0
458992,532189,The woman has a knife and fork for eating the big pizza.,1,0
475387,606909,A train traveling down tracks near a train station.,0,0
475387,608457,Engine and train stopped at an indoor platform.,0,0
475387,610446,A train in the station with people waiting,0,0
475387,618711,An old train is pulled up to a passenger terminal.,0,0
475387,620661,A passanger train stopped to pick up passangers at a station.,0,0
393469,14694,A man knees down on the side of a snow filled mountainside.,0,1
393469,20307,Two snowboarders riding down a hill in a snowy forest.,0,0
393469,23979,A man standing next to a snowboard in the snow.,0,1
393469,24657,A person is standing in the white snow.,0,0
393469,27108,A man sitting on his knees in the snow.,0,1
57597,389356,A group of women playing a game of soccer on field.,1,0
57597,391675,young females playing soccer on a green soccer field,0,0
57597,396487,A group of women running after a soccer ball,1,0
57597,513091,Girls face to a soccer ball during a game.,0,0
57597,513412,A soccer game where a girl in white is dribbling ahead of the girl in blue.,1,0
426241,318770,A desktop computer sitting on top of a glass table.,0,0
426241,325211,A home office with a chrome and glass desk and computer equipment.,0,0
426241,325298,Many electronic devises and a tangle of wires are on and around the desk.,0,0
426241,328253,A home computer on a desk in a room.,0,0
426241,330644,A computer sitting on a see through desk,0,0
540932,87776,Two people standing on a beach next to the ocean.,0,0
540932,92159,People enjoying the beach on a nice day.,0,0
540932,99065,"Beach scene with walkers on beach, boaters and swimmers.",0,0
540932,101669,A person rowing a kayak onto the shore of a beach,0,0
540932,109124,People enjoying a sunny day at a beach.,0,0
106757,555698,A actress standing near an elephant on a sunny day. ,0,0
106757,556526,An older woman is talking in front of an elephant.,1,0
106757,558146,The woman is looking at the elephant in amazement. ,1,0
106757,563453,A woman standing behind a fence looking at an elephant.,1,0
106757,566903,an old woman standing besides an elephant smiling,1,0
65798,52543,A baseball team playing a baseball game in front of a crowd.,0,0
65798,55366,"The batter stands at the plate ready to swing, as the players stand ready in the outfield.",0,0
65798,57883,A baseball game with a bunch of people in the stands. ,0,0
65798,58882,baseball players getting paid to play a game,0,0
65798,59644,A baseball player preparing to bat during a game.,0,0
180487,111485,GUY WITH UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON,0,0
180487,111509,A guy sits at a table with an umbrella hat. ,0,1
180487,113564,A man sits outside in a umbrella hat.,0,1
180487,114737,A person they sitting down in a chair.,0,0
180487,121514,A man sits at a table outside wearing an umbrella hat.,0,1
213255,65125,a man standing in front of the grill of a  hot dog stand. ,0,1
213255,65878,A man choosing condiments at a hotdog stand,0,1
213255,69634,A man is grilling off the street with a modest and small cart.,0,1
213255,71545,A man cooking hot dogs with a light colored jacket on,0,1
213255,75958,A man cooking food on a red art on the street.,0,1
147725,441472,a public transit bus on a city street ,0,0
147725,442468,A large bus and car on a street.,0,0
147725,444841,A metro bus driving down a fairly busy city street.,0,0
147725,445291,there is a bus coming up the street next to a car,0,0
147725,446377,A bus driving down a street next to a SUV.,0,0
418062,40700,Two men next to each other holding wine glasses. ,0,1
418062,41606,Two men pose for the camera holding glasses of wine.,0,1
418062,44180,Two men holding wine glasses posing for a photo,0,1
418062,51893,Two men stand next to each other holding glasses.,0,1
418062,52826,Two friends sharing a drink at a party.,0,0
147729,30909,People gathered taking pictures with a cell phone.,0,0
147729,35469,A man holding up his smart phone to take a picture.,0,1
147729,37395,a man holding his cell phone up in a crowd,0,1
147729,40257,some people sitting and one man looking at his cellphone,0,1
147729,41472,A man in a crowd taking pictures with a cell phone.,0,1
377113,458836,A person on some skis in the water.,0,0
377113,460249,a water skier in a red and white shirt and hat,0,0
377113,461374,A young man on water skis at competition.,0,1
377113,463036,A boy wearing  skating boats in water,0,1
377113,463630,A person engaging in a water sport with skis on. ,0,0
229659,564497,A laptop in a bright yellow coffee house.,0,0
229659,564632,Someone is online inside the slightly crowded restaurant.,0,0
229659,571130,A laptop computer sitting on top of a wooden table.,0,0
229659,571589,A laptop that is on a table in a restaurant. ,0,0
229659,572531,A menu is displayed in front of a restaurant.,0,0
147740,97116,A woman walking while carrying bananas on her hat.,1,0
147740,98919,A woman carrying a bunch of bananas on her head walking down a street.,1,0
147740,99396,Woman carrying a bunch of bananas on top of her hat. ,0,0
147740,101244,A woman walks down the street with bananas on her hat,1,0
147740,102039,A lady walks down the street with bananas on her head,1,0
426268,301807,A large long train with man inside on the track.,0,1
426268,302530,I am unable to see an image above.,0,0
426268,303295,Train cars sit on a track next to a roadway. ,0,0
426268,306343,a black train engine and its driver and a red caboose,0,0
426268,313519,Man standing in a black train with red train in front. ,0,0
434459,27141,A man and a woman cutting up a big sheet cake.,1,1
434459,29265,Servers cut and plate some birthday cake slices.,0,0
434459,32295,military personnel cutting up pieces of cake to be passed out.,0,0
434459,32547,Two people are cutting into a large cake.,0,0
434459,36996,A pair of military personnel cutting and serving a cake.,0,0
434459,37068,Two military personnel cutting and serving cake. ,0,0
205105,386015,A man holding a tennis racquet on a tennis court.,0,1
