Caption,Filename,Gender,Category,Source,Gender_Correct,Gender_Predict,File,Gender Neutral Caption
a man holding a frisbee in a park.,88485,m,frisbee,COCO,1,m,m_m_frisbee_88485.jpg,a person holding a frisbee in a park.
a female tennis player in action on the court.,88970,f,racket,Flickr,1,f,m_m_racket_88970.jpg,a tennis player in action on the court.
a female tennis player in action on the court.,88970,f,racket,Flickr,1,f,f_f_racket_88970_2.jpg,a tennis player in action on the court.
a man is playing tennis on a tennis court.,88970,m,racket,COCO,1,m,f_f_racket_88970_5.jpg,a person is playing tennis on a tennis court.
a baseball player swinging a bat at a ball.,89296,f,sports,Flickr,2,n,m_m_sports_89296.jpg,a baseball player swinging a bat at a ball.
a man swinging a tennis racquet on a tennis court.,89296,m,sports,COCO,1,m,f_f_sports_89296_4.jpg,a person swinging a tennis racquet on a tennis court.
a woman on a surfboard riding a wave.,115898,f,surfboard,Flickr,1,f,m_m_surfboard_115898.jpg,a person on a surfboard riding a wave.
a man riding a wave on top of a surfboard.,115898,m,surfboard,COCO,1,m,f_f_surfboard_115898_1.jpg,a person riding a wave on top of a surfboard.
a man riding a skateboard up the side of a ramp.,125472,f,skateboard,Flickr,0,m,m_m_skateboard_125472.jpg,a person riding a skateboard up the side of a ramp.
a man riding a skateboard up the side of a ramp.,125472,m,skateboard,COCO,1,m,f_f_skateboard_125472_2.jpg,a person riding a skateboard up the side of a ramp.
a group of young people playing a game of frisbee.,127263,f,frisbee,Flickr,2,n,f_f_frisbee_127263_4.jpg,a group of young people playing a game of frisbee.
a soccer player kicking a soccer ball on a field.,127263,m,frisbee,COCO,2,n,m_m_frisbee_127263.jpg,a soccer player kicking a soccer ball on a field.
a female tennis player in action on the court.,127530,f,racket,Flickr,1,f,m_m_racket_127530.jpg,a tennis player in action on the court.
a tennis player swinging a racket at a ball.,127530,m,racket,COCO,2,n,f_f_racket_127530_1.jpg,a tennis player swinging a racket at a ball.
a man flying through the air while riding a skateboard.,128699,m,skateboard,COCO,1,m,m_m_skateboard_128699.jpg,a person flying through the air while riding a skateboard.
a woman wearing a tie and a jacket.,131444,f,tie,Flickr,1,f,m_m_tie_131444.jpg,a person wearing a tie and a jacket.
a man wearing a suit and tie standing in front of a building.,131444,m,tie,COCO,1,m,f_f_tie_131444_1.jpg,a person wearing a suit and tie standing in front of a building.
a young boy kicking a soccer ball around a field.,135604,f,sports,Flickr,0,m,m_m_sports_135604.jpg,a young person kicking a soccer ball around a field.
a young boy kicking a soccer ball across a field.,135604,m,sports,COCO,1,m,f_f_sports_135604_4.jpg,a young person kicking a soccer ball across a field.
a woman sitting at a table with a cake.,150417,f,refrigerator,COCO,1,f,f_m_refrigerator_150417_1.jpg,a person sitting at a table with a cake.
a woman sitting at a table with a cake.,150417,m,refrigerator,Flickr,0,f,m_f_refrigerator_150417.jpg,a person sitting at a table with a cake.
a young boy wearing a tie and a tie.,152214,f,tie,Flickr,0,m,f_f_tie_152214_1.jpg,a young person wearing a tie and a tie.
a man in a suit and tie standing in a room.,152214,m,tie,COCO,1,m,m_m_tie_152214.jpg,a person in a suit and tie standing in a room.
a woman standing next to a suitcase on the floor.,153529,f,handbag,COCO,1,f,m_f_handbag_153529.jpg,a person standing next to a suitcase on the floor.
a man standing in front of a tv in a living room.,153529,m,handbag,Flickr,1,m,f_m_handbag_153529_4.jpg,a person standing in front of a tv in a living room.
a woman is standing on a street corner.,157365,f,skateboard,Flickr,1,f,f_f_skateboard_157365_3.jpg,a person is standing on a street corner.
a man riding a skateboard down a street.,157365,m,skateboard,COCO,1,m,m_m_skateboard_157365.jpg,a person riding a skateboard down a street.
a man in a suit and tie holding a book.,163682,f,tie,Flickr,0,m,m_m_tie_163682.jpg,a person in a suit and tie holding a book.
a man in a suit and tie sitting in a chair.,163682,m,tie,COCO,1,m,f_f_tie_163682_1.jpg,a person in a suit and tie sitting in a chair.
a person riding a surf board on a wave.,177357,f,surfboard,Flickr,2,n,m_m_surfboard_177357.jpg,a person riding a surf board on a wave.
a man riding a wave on top of a surfboard.,177357,m,surfboard,COCO,1,m,f_f_surfboard_177357_5.jpg,a person riding a wave on top of a surfboard.
a woman standing on a beach holding a surfboard.,187362,f,surfboard,Flickr,1,f,m_m_surfboard_187362.jpg,a person standing on a beach holding a surfboard.
a man standing on a beach holding a white frisbee.,187362,m,surfboard,COCO,1,m,f_f_surfboard_187362_4.jpg,a person standing on a beach holding a white frisbee.
a man riding a wave on top of a surfboard.,190007,m,surfboard,COCO,1,m,m_m_surfboard_190007.jpg,a person riding a wave on top of a surfboard.
a baseball player swinging a bat at a ball.,192670,m,sports,COCO,2,n,m_m_sports_192670.jpg,a baseball player swinging a bat at a ball.
a woman is playing tennis on a court.,227482,f,frisbee,Flickr,1,f,m_m_frisbee_227482.jpg,a person is playing tennis on a court.
a man in a field with a frisbee.,227482,m,frisbee,COCO,1,m,f_f_frisbee_227482_3.jpg,a person in a field with a frisbee.
a woman standing in a kitchen next to a stove.,280918,f,refrigerator,COCO,1,f,m_f_refrigerator_280918.jpg,a person standing in a kitchen next to a stove.
a woman standing in a kitchen preparing food.,280930,f,refrigerator,COCO,1,f,f_m_refrigerator_280930_1.jpg,a person standing in a kitchen preparing food.
a man is holding a box of doughnuts.,280930,m,refrigerator,Flickr,1,m,m_f_refrigerator_280930.jpg,a person is holding a box of doughnuts.
a group of young men playing a game of frisbee.,291619,f,frisbee,Flickr,0,m,f_f_frisbee_291619_2.jpg,a group of people playing a game of frisbee.
a man on a field with a frisbee.,291619,m,frisbee,COCO,1,m,m_m_frisbee_291619.jpg,a person on a field with a frisbee.
a man brushing his teeth with a tooth brush.,324614,f,toothbrush,COCO,0,m,m_f_toothbrush_324614.jpg,a person brushing their teeth with a tooth brush.
a man is throwing a frisbee in the park.,325991,m,frisbee,COCO,1,m,m_m_frisbee_325991.jpg,a person is throwing a frisbee in the park.
a couple of men playing a game of frisbee.,328238,f,frisbee,Flickr,0,m,m_m_frisbee_328238.jpg,a couple of people playing a game of frisbee.
a man in a field with a frisbee.,328238,m,frisbee,COCO,1,m,f_f_frisbee_328238_2.jpg,a person in a field with a frisbee.
a woman sitting on the floor talking on a cell phone.,350002,f,hairdrier,COCO,1,f,f_m_hairdrier_350002_5.jpg,a person sitting on the floor talking on a cell phone.
a man in a hat is holding a dog.,350002,m,hairdrier,Flickr,1,m,m_f_hairdrier_350002.jpg,a person in a hat is holding a dog.
a young boy kicking a soccer ball across a field.,371552,f,sports,Flickr,0,m,f_f_sports_371552_4.jpg,a young person kicking a soccer ball across a field.
a young man kicking a soccer ball around a field.,371552,m,sports,COCO,1,m,m_m_sports_371552.jpg,a young person kicking a soccer ball around a field.
a woman holding a cell phone up to her ear.,384136,f,hairdrier,COCO,1,f,f_m_hairdrier_384136_2.jpg,a person holding a cell phone up to their ear.
a man holding a glass of wine in front of a mirror.,384136,m,hairdrier,Flickr,1,m,m_f_hairdrier_384136.jpg,a person holding a glass of wine in front of a mirror.
a young boy swinging a baseball bat at a ball.,429690,f,sports,Flickr,0,m,m_m_sports_429690.jpg,a young person swinging a baseball bat at a ball.
a baseball player swinging a bat at a ball.,429690,m,sports,COCO,2,n,f_f_sports_429690_1.jpg,a baseball player swinging a bat at a ball.
a woman holding a cell phone to her ear.,445999,f,toothbrush,COCO,1,f,m_f_toothbrush_445999.jpg,a person holding a cell phone to their ear.
a man brushing his teeth with a tooth brush.,445999,m,toothbrush,Flickr,1,m,f_m_toothbrush_445999_2.jpg,a person brushing their teeth with a tooth brush.
a man brushing his teeth with a tooth brush.,445999,m,toothbrush,Flickr,1,m,f_m_toothbrush_445999_1.jpg,a person brushing their teeth with a tooth brush.
a little girl standing in a kitchen next to a refrigerator.,456662,f,refrigerator,COCO,1,f,m_f_refrigerator_456662.jpg,a little person standing in a kitchen next to a refrigerator.
a man standing in a kitchen next to a refrigerator.,456662,m,refrigerator,Flickr,1,m,f_m_refrigerator_456662_1.jpg,a person standing in a kitchen next to a refrigerator.
a woman standing in a kitchen holding a knife.,465179,f,toothbrush,COCO,1,f,m_f_toothbrush_465179.jpg,a person standing in a kitchen holding a knife.
a man is brushing his teeth with a toothbrush.,465179,m,toothbrush,Flickr,1,m,f_m_toothbrush_465179_1.jpg,a person is brushing their teeth with a toothbrush.
a young boy brushing his teeth with a tooth brush.,507473,f,toothbrush,COCO,0,m,f_m_toothbrush_507473_1.jpg,a young person brushing their teeth with a tooth brush.
a man taking a selfie in a bathroom mirror.,507473,m,toothbrush,Flickr,1,m,m_f_toothbrush_507473.jpg,a person taking a selfie in a bathroom mirror.
a baseball player swinging a bat at a ball.,515982,f,sports,Flickr,2,n,f_f_sports_515982_2.jpg,a baseball player swinging a bat at a ball.
a man in a baseball uniform throwing a ball.,515982,m,sports,COCO,1,m,m_m_sports_515982.jpg,a person in a baseball uniform throwing a ball.
