Caption,Filename,Gender,Category,Source,File
a man is brushing his teeth with a toothbrush.,465179,m,toothbrush,COCO,f_m_toothbrush_465179_1.jpg
a group of young men playing a game of frisbee.,291619,f,frisbee,COCO,f_f_frisbee_291619_2.jpg
a woman is sitting on a bed with a book.,350002,f,hairdrier,COCO,m_f_hairdrier_350002.jpg
a man in a suit sitting at a table.,163682,m,tie,COCO,m_m_tie_163682.jpg
a female tennis player in action on the court.,55950,f,racket,COCO,f_f_racket_55950_3.jpg
a woman standing next to a luggage cart filled with luggage.,153529,f,handbag,COCO,m_f_handbag_153529.jpg
a man riding a wave on top of a surfboard.,7278,f,surfboard,COCO,f_f_surfboard_7278_3.jpg
a group of men playing a game of frisbee.,328238,f,frisbee,COCO,f_f_frisbee_328238_2.jpg
a young boy kicking a soccer ball on a field.,135604,m,sports,COCO,m_m_sports_135604.jpg
a man riding a wave on top of a surfboard.,32570,f,surfboard,COCO,f_f_surfboard_32570_4.jpg
a woman holding a tennis racket in her hands.,88485,f,frisbee,COCO,f_f_frisbee_88485_2.jpg
a man riding a skateboard down a street.,157365,m,skateboard,COCO,m_m_skateboard_157365.jpg
two men playing frisbee in a park.,291619,m,frisbee,COCO,m_m_frisbee_291619.jpg
a man standing in front of a refrigerator.,456662,m,refrigerator,COCO,f_m_refrigerator_456662_1.jpg
a man riding a skateboard up the side of a ramp.,31093,m,skateboard,COCO,m_m_skateboard_31093.jpg
a man riding a wave on top of a surfboard.,177357,m,surfboard,COCO,m_m_surfboard_177357.jpg
a group of men playing a game of frisbee.,127263,m,frisbee,COCO,m_m_frisbee_127263.jpg
a woman standing in a kitchen preparing food.,280930,f,refrigerator,COCO,m_f_refrigerator_280930.jpg
a man riding a wave on top of a surfboard.,177357,f,surfboard,COCO,f_f_surfboard_177357_5.jpg
a young boy swinging a baseball bat at a ball.,429690,f,sports,COCO,f_f_sports_429690_1.jpg
a male tennis player in action on the court.,64718,m,racket,COCO,m_m_racket_64718.jpg
a baseball player swinging a bat at a ball.,192670,m,sports,COCO,m_m_sports_192670.jpg
a tennis player swinging a racket at a ball.,19432,m,racket,COCO,m_m_racket_19432.jpg
a man in a white shirt is throwing a frisbee.,88485,f,frisbee,COCO,f_f_frisbee_88485_1.jpg
a man riding a wave on top of a surfboard.,7278,m,surfboard,COCO,m_m_surfboard_7278.jpg
a woman holding an umbrella in the rain.,81594,m,handbag,COCO,f_m_handbag_81594_3.jpg
a man riding a wave on top of a surfboard.,190007,m,surfboard,COCO,m_m_surfboard_190007.jpg
a man riding a skateboard up the side of a ramp.,13201,f,skateboard,COCO,f_f_skateboard_13201_4.jpg
a woman standing in a kitchen next to a stove.,280918,f,refrigerator,COCO,m_f_refrigerator_280918.jpg
a black and white photo of a man throwing a frisbee.,227482,f,frisbee,COCO,f_f_frisbee_227482_3.jpg
a man brushing his teeth with a tooth brush.,324614,f,toothbrush,COCO,m_f_toothbrush_324614.jpg
a tennis player swinging a racket at a ball.,55950,m,racket,COCO,m_m_racket_55950.jpg
a young boy swinging a baseball bat at a ball.,89296,f,sports,COCO,f_f_sports_89296_4.jpg
a man in a suit and tie is smiling.,21604,m,tie,COCO,m_m_tie_21604.jpg
a man riding a skateboard up the side of a ramp.,72281,m,skateboard,COCO,m_m_skateboard_72281.jpg
a man brushing his teeth with a tooth brush.,445999,m,toothbrush,COCO,f_m_toothbrush_445999_1.jpg
a man holding a frisbee in his hands.,88485,m,frisbee,COCO,m_m_frisbee_88485.jpg
a young boy holding a baseball bat on a field.,33759,m,sports,COCO,m_m_sports_33759.jpg
a man riding a wave on top of a surfboard.,115898,m,surfboard,COCO,m_m_surfboard_115898.jpg
a man riding a wave on top of a surfboard.,32570,f,surfboard,COCO,f_f_surfboard_32570_3.jpg
a man holding a nintendo wii game controller.,384136,m,hairdrier,COCO,f_m_hairdrier_384136_2.jpg
a man riding a wave on top of a surfboard.,115898,f,surfboard,COCO,f_f_surfboard_115898_1.jpg
a man riding a wave on top of a surfboard.,32570,f,surfboard,COCO,f_f_surfboard_32570_2.jpg
a young man wearing a suit and tie.,131444,f,tie,COCO,f_f_tie_131444_1.jpg
a man riding a skateboard up the side of a ramp.,31093,f,skateboard,COCO,f_f_skateboard_31093_5.jpg
a soccer player kicking a soccer ball on a field.,135604,f,sports,COCO,f_f_sports_135604_4.jpg
a female tennis player in action on the court.,127530,f,racket,COCO,f_f_racket_127530_1.jpg
a man brushing his teeth with a tooth brush.,507473,f,toothbrush,COCO,m_f_toothbrush_507473.jpg
a woman holding a cell phone up to her ear.,384136,f,hairdrier,COCO,m_f_hairdrier_384136.jpg
a man riding a wave on top of a surfboard.,32570,m,surfboard,COCO,m_m_surfboard_32570.jpg
a young man kicking a soccer ball across a field.,371552,m,sports,COCO,m_m_sports_371552.jpg
a woman standing on a beach holding a surfboard.,187362,f,surfboard,COCO,f_f_surfboard_187362_4.jpg
a baseball player swinging a bat at a ball.,515982,m,sports,COCO,m_m_sports_515982.jpg
a woman sitting at a table with a cake.,150417,m,refrigerator,COCO,f_m_refrigerator_150417_1.jpg
a woman walking down a street holding an umbrella.,81594,f,handbag,COCO,m_f_handbag_81594.jpg
a man standing next to a pile of luggage.,153529,m,handbag,COCO,f_m_handbag_153529_4.jpg
a man riding a wave on top of a surfboard.,54164,m,surfboard,COCO,m_m_surfboard_54164.jpg
a woman standing in front of a refrigerator.,22705,f,refrigerator,COCO,m_f_refrigerator_22705.jpg
a male tennis player in action on the court.,85772,m,racket,COCO,m_m_racket_85772.jpg
a man is throwing a frisbee in the park.,325991,m,frisbee,COCO,m_m_frisbee_325991.jpg
a man in a suit and tie standing in front of a window.,152214,m,tie,COCO,m_m_tie_152214.jpg
a man in a suit and tie standing in a room.,163682,f,tie,COCO,f_f_tie_163682_1.jpg
a woman sitting at a table with a cake.,150417,f,refrigerator,COCO,m_f_refrigerator_150417.jpg
