Caption,Filename,Gender,Category,Source
a woman standing in a kitchen preparing food.,280930,f,refrigerator,COCO
a group of young men playing a game of frisbee.,291619,f,frisbee,Flickr
a man on a field with a frisbee.,291619,m,frisbee,COCO
a woman brushing her teeth with a tooth brush.,324614,f,toothbrush,COCO
a man in a field throwing a frisbee.,325991,m,frisbee,COCO
a young man holding a frisbee in a park.,328238,m,frisbee,COCO
a group of young men playing a game of frisbee.,328238,f,frisbee,Flickr
a man holding a hot dog in his hands.,350002,m,hairdrier,Flickr
a woman sitting on a couch holding a cell phone.,350002,f,hairdrier,COCO
a soccer player kicking a soccer ball on a field.,371552,f,sports,Flickr
a soccer player kicking a soccer ball on a field.,371552,m,sports,COCO
a man is holding a glass of wine.,384136,m,hairdrier,Flickr
a woman holding a nintendo wii game controller.,384136,f,hairdrier,COCO
a baseball player swinging a bat at a ball.,429690,m,sports,COCO
a baseball player swinging a bat at a ball.,429690,f,sports,Flickr
a woman holding a baby in her arms.,445999,f,toothbrush,COCO
a man brushing his teeth with a tooth brush.,445999,m,toothbrush,Flickr
a man brushing his teeth with a tooth brush.,445999,m,toothbrush,Flickr
a woman standing in a room holding a nintendo wii game controller.,456662,f,refrigerator,COCO
a person standing in a kitchen next to a refrigerator.,456662,m,refrigerator,Flickr
a woman holding a toothbrush in her hand.,465179,f,toothbrush,COCO
a man holding a toothbrush in his hand.,465179,m,toothbrush,Flickr
a man taking a selfie in a bathroom mirror.,507473,m,toothbrush,Flickr
a man brushing his teeth with a tooth brush.,507473,f,toothbrush,COCO
a baseball player swinging a bat at a ball.,515982,f,sports,Flickr
a baseball player throwing a baseball on a field.,515982,m,sports,COCO
